"","ID","start","end","pos_x","pos_y","player","team","action","hypotenuse","angle","xG"
"1155",13,863,875,4.66,0.00999999999999979,"Gareau Sophie","University of Ottawa Gee-Gees",0,4.66001072960139,0.00214591945280989,0.191271454170164
"1156",14,868,880,12.38,0.0700000000000003,"Deaudelin Christine","University of Ottawa Gee-Gees",0,12.3801978982567,0.00565422084222665,0.0736957168754534
"1157",15,903,915,9.26,-2.4,"Clavelle Alexe","University of Ottawa Gee-Gees",0,9.56596048496961,-0.253599139239001,0.101347230936573
"1158",16,911,923,5.04,1.49,"Gareau Sophie","University of Ottawa Gee-Gees",0,5.25563507104517,0.287447339017476,0.186558467033615
"1159",17,1034,1046,4.95,2.06,"Scott Taylor","University of Ottawa Gee-Gees",0,5.36153895817237,0.394360703657474,0.187324008483028
"1160",18,1197,1209,7.33,-2.31,"Lalonde Kylie","University of Ottawa Gee-Gees",0,7.68537572276073,-0.305291135561863,0.127143145346834
"1161",19,1250,1262,4.4,-2.21,"Gagnon Arianne","University of Ottawa Gee-Gees",0,4.92382981021887,-0.465464137429643,0.172721905580889
"1162",20,1251,1263,4.95,0.73,"Birkby Katherine","University of Ottawa Gee-Gees",0,5.00353874772646,0.146419352774567,0.187962889457505
"1163",21,1309,1321,16.41,-11.61,"Macmillan Alyssa","University of Ottawa Gee-Gees",0,20.1017461928062,-0.615738760156633,0.0232531957402649
"1164",22,1414,1426,20.81,2.25,"MacNeil Nicole","Carleton Ravens",0,20.9312828082753,0.107702708297677,0.0236686713038162
"1165",23,1451,1463,6.6,2.72,"Chouchani Stephanie","Carleton Ravens",0,7.13851525178731,0.390911828814735,0.151992400463809
"1166",24,1537,1549,17.51,10.03,"Andrews Samantha","Carleton Ravens",0,20.1792219869845,0.520191045945624,0.02829615892442
"1167",25,1580,1592,9.44,3.48,"Fillion Alice","University of Ottawa Gee-Gees",1,10.0610138654114,0.353186735752917,0.105383384394992
"1168",27,1686,1698,6.42,2.82,"Gareau Sophie","University of Ottawa Gee-Gees",0,7.01204677679777,0.413880308250739,0.154869776048565
"1169",28,1813,1825,18.88,-5.34,"Chouchani Stephanie","Carleton Ravens",0,19.6206523846686,-0.275639346042734,0.0264354521287823
"1170",29,1900,1912,19.43,8.32,"Andrews Samantha","Carleton Ravens",0,21.1363975170794,0.404581169409939,0.0242899683006281
"1171",30,2109,2121,9.08,-5.63,"Lalonde Kylie","University of Ottawa Gee-Gees",0,10.6837867818485,-0.55502754761764,0.083436065678773
"1172",31,2149,2161,8.8,-0.220000000000001,"MacLean Kate","University of Ottawa Gee-Gees",0,8.80274957044673,-0.0249947936189202,0.115901454615222
"1173",32,2223,2235,13.38,-8.66,"Serniuk Hayden","Carleton Ravens",0,15.9380048939634,-0.574428776629198,0.0414032460126268
"1174",33,2283,2295,11.46,-6.77,"Fleming Anita","Carleton Ravens",0,13.3103155484759,-0.533590589546486,0.0593328053898973
"1175",34,2436,2448,21.54,7.75,"MacNeil Nicole","Carleton Ravens",0,22.8917911051101,0.345374733892356,0.0188530696612457
"1176",35,2460,2472,7.79,2.15,"Berta Sydney","Carleton Ravens",0,8.0812499033256,0.269290893714695,0.132973359930123
"1177",36,2563,2575,6.33,3.86,"Beard Justina","Carleton Ravens",0,7.41407445336233,0.547590323460705,0.150757308708314
"1178",37,2659,2671,14.76,7.28,"Hunter Nicole","Carleton Ravens",0,16.4577033634709,0.45821287989997,0.0464236958813217
"1179",38,2671,2683,5.87,0.539999999999999,"Morais Jenna","Carleton Ravens",1,5.89478583156335,0.0917349904572376,0.168068721953427
"1180",40,2762,2774,7.33,4.34,"Gareau Sophie","University of Ottawa Gee-Gees",0,8.51847991134568,0.534581032284932,0.131580509281258
"1181",41,2831,2843,12.1,1.97,"Clavelle Alexe","University of Ottawa Gee-Gees",0,12.259318904409,0.161393833856814,0.0769115912615576
"1182",42,2916,2928,11.18,4.81,"Deaudelin Christine","University of Ottawa Gee-Gees",0,12.170805232194,0.40629430990964,0.0811534486226152
"1183",43,2970,2982,5.68,0.26,"Aubin Ariane","University of Ottawa Gee-Gees",0,5.6859475903318,0.0457427172002023,0.171009830284174
"1184",44,2991,3003,6.97,3.77,"Deaudelin Christine","University of Ottawa Gee-Gees",0,7.92425390809759,0.495821708583829,0.140590458122311
"1185",45,3040,3052,5.78,3.39,"Lalonde Kylie","University of Ottawa Gee-Gees",0,6.70078353627395,0.53043774835567,0.16367161542169
"1186",46,3086,3098,6.51,-2.4,"Gareau Sophie","University of Ottawa Gee-Gees",0,6.93830670985364,-0.353203926153795,0.138247146156881
"1187",47,3091,3103,21.27,-1.64,"Deaudelin Christine","University of Ottawa Gee-Gees",0,21.333131509462,-0.0769516503906173,0.0216487537618503
"1188",48,3093,3105,3.58,-4.49,"Plourde Gabrielle","University of Ottawa Gee-Gees",0,5.74251686980543,-0.897687148148906,0.146429887792093
"1189",49,3250,3262,13.75,-11.89,"Ehrenberg Erika","Carleton Ravens",0,18.1778601600959,-0.712982113067736,0.029762212878687
"1190",50,3353,3365,18.55,-12.58,"Callocchia Angelina","Carleton Ravens",0,22.4133643168535,-0.595922249872368,0.0169482667380713
"1191",51,3523,3535,8.87,-2.28,"Clavelle Alexe","University of Ottawa Gee-Gees",1,9.15834592052517,-0.251599329102001,0.106746627878607
"1192",53,3632,3644,13.4,8.18,"Proulx Angelique","University of Ottawa Gee-Gees",0,15.6994394804401,0.548066281526705,0.0522259726912691
"1193",54,3641,3653,7.05,-1.22,"Fillion Alice","University of Ottawa Gee-Gees",1,7.1547816179112,-0.171352641935888,0.138656930934833
