ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,32,44,12,45.47,12.53,McCallum Makenzie,McGill Martlets,Shots on goal,1
2,189,201,12,56.28,10.72,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
3,326,338,12,55.37,12.05,MacLean Kate,University of Ottawa Gee-Gees,Shots on goal,1
4,386,398,12,40.79,13.76,Minville Ariane,University of Ottawa Gee-Gees,Shots on goal,1
5,436,448,12,49.23,15.85,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
6,694,706,12,47.03,12.15,Proulx Angelique,University of Ottawa Gee-Gees,Shots on goal,1
7,723,735,12,50.42,3.23,Lalonde Kylie,University of Ottawa Gee-Gees,Shots on goal,1
8,854,866,12,46.29,12.91,Minville Ariane,University of Ottawa Gee-Gees,Shots on goal,1
9,885,897,12,40.43,3.99,Minville Ariane,University of Ottawa Gee-Gees,Shots on goal,1
10,931,943,12,56.38,24.3,Proulx Angelique,University of Ottawa Gee-Gees,Shots on goal,1
11,1065,1077,12,55.55,11.39,Downie-Landry Jade,McGill Martlets,Shots on goal,1
12,1151,1163,12,48.4,8.16,Lalonde Kylie,University of Ottawa Gee-Gees,Shots on goal,1
13,1218,1230,12,42.17,23.35,Pridham Olivia,McGill Martlets,Shots on goal,1
14,1247,1259,12,52.53,13,Rankin Katie,McGill Martlets,Shots on goal,1
15,1346,1358,12,52.07,18.32,Downie-Landry Jade,McGill Martlets,Shots on goal,1
16,1468,1480,12,41.07,18.41,Pridham Olivia,McGill Martlets,Shots on goal,1
17,1526,1538,12,49.68,22.4,Rankin Katie,McGill Martlets,Shots on goal,1
18,1593,1605,12,41.71,10.91,Mura Elizabeth,McGill Martlets,Shots on goal,1
19,1943,1955,12,53.44,19.36,Colizza Chrissy,McGill Martlets,Shots on goal,2
20,1992,2004,12,46.84,3.99,McCallum Makenzie,McGill Martlets,Shots on goal,2
21,2000,2012,12,55.37,9.87,Jardin Laura,McGill Martlets,Shots on goal,2
22,2018,2030,12,52.25,14.71,McCallum Makenzie,McGill Martlets,Goals,2
23,2018,2030,12,52.25,14.71,McCallum Makenzie,McGill Martlets,Shots on goal,2
24,2107,2119,12,40.88,5.5,Minville Ariane,University of Ottawa Gee-Gees,Shots on goal,2
25,2142,2154,12,44.28,24.58,Labrecque Marika,McGill Martlets,Shots on goal,2
26,2296,2308,12,47.76,16.32,Downie-Landry Jade,McGill Martlets,Shots on goal,2
27,2352,2364,12,54.08,16.99,McCallum Makenzie,McGill Martlets,Shots on goal,2
28,2444,2456,12,49.5,7.88,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,2
29,2584,2596,12,55.83,11.1,McCallum Makenzie,McGill Martlets,Shots on goal,2
30,2613,2625,12,43.36,23.63,Desjardins Stephanie,McGill Martlets,Shots on goal,2
31,2641,2653,12,42.17,9.49,Downie-Landry Jade,McGill Martlets,Shots on goal,2
32,2666,2678,12,48.58,17.27,Desjardins Stephanie,McGill Martlets,Shots on goal,2
33,2764,2776,12,50.42,20.78,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,2
34,2922,2934,12,40.52,18.51,Kraczynski Mikaila,University of Ottawa Gee-Gees,Shots on goal,2
35,2926,2938,12,53.81,11.86,Gareau Sophie,University of Ottawa Gee-Gees,Shots on goal,2
36,3055,3067,12,40.52,4.18,Verbruggen Raelene,McGill Martlets,Shots on goal,2
37,3075,3087,12,49.23,17.27,Biesenthal Alyssa,University of Ottawa Gee-Gees,Shots on goal,2
38,3178,3190,12,53.26,5.88,Gareau Sophie,University of Ottawa Gee-Gees,Shots on goal,2
39,3280,3292,12,47.48,3.13,Colizza Chrissy,McGill Martlets,Shots on goal,2
40,3326,3338,12,44.37,2.09,Gareau Sophie,University of Ottawa Gee-Gees,Shots on goal,2
41,3402,3414,12,56.01,8.73,Jardin Laura,McGill Martlets,Shots on goal,2
42,3436,3448,12,57.02,11.2,Campbell Quynn,McGill Martlets,Shots on goal,2
43,3470,3482,12,40.79,24.01,Verbruggen Raelene,McGill Martlets,Shots on goal,2
44,3530,3542,12,48.95,19.27,Downie-Landry Jade,McGill Martlets,Shots on goal,2
45,3579,3591,12,50.97,5.13,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,2
46,3621,3633,12,40.43,22.78,Kraczynski Mikaila,University of Ottawa Gee-Gees,Shots on goal,2
47,3628,3640,12,46.2,18.41,Kraczynski Mikaila,University of Ottawa Gee-Gees,Shots on goal,2
48,3633,3645,12,40.79,23.06,Kraczynski Mikaila,University of Ottawa Gee-Gees,Shots on goal,2
49,3684,3696,12,41.8,18.89,Kraczynski Mikaila,University of Ottawa Gee-Gees,Shots on goal,2
50,3686,3698,12,53.35,10.91,Clavelle Alexe,University of Ottawa Gee-Gees,Shots on goal,2
51,3695,3707,12,53.17,8.73,Minville Ariane,University of Ottawa Gee-Gees,Shots on goal,2
52,3700,3712,12,40.61,14.9,Kraczynski Mikaila,University of Ottawa Gee-Gees,Shots on goal,2
53,3814,3826,12,52.07,9.59,Biesenthal Alyssa,University of Ottawa Gee-Gees,Shots on goal,3
54,3852,3864,12,48.49,15.66,Todd Jade,University of Ottawa Gee-Gees,Shots on goal,3
55,3898,3910,12,45.93,2.18,Gareau Sophie,University of Ottawa Gee-Gees,Shots on goal,3
56,4091,4103,12,45.93,21.16,Clavelle Alexe,University of Ottawa Gee-Gees,Shots on goal,3
57,4496,4508,12,48.95,14.43,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,3
58,4580,4592,12,41.34,17.46,Kraczynski Mikaila,University of Ottawa Gee-Gees,Shots on goal,3
59,4864,4876,12,50.51,20.5,Downie-Landry Jade,McGill Martlets,Shots on goal,3
60,4955,4967,12,50.6,16.13,Piers Emma,McGill Martlets,Shots on goal,3
61,4973,4985,12,41.43,23.92,Pridham Olivia,McGill Martlets,Shots on goal,3
62,5069,5081,12,52.43,18.7,Stasiuk Cassidy,McGill Martlets,Shots on goal,3
63,5075,5087,12,41.62,5.69,Kastelic Jaime,McGill Martlets,Shots on goal,3
64,5077,5089,12,55,15.75,Desjardins Stephanie,McGill Martlets,Shots on goal,3
65,5213,5225,12,38.5,18.89,Proulx Angelique,University of Ottawa Gee-Gees,Shots on goal,3
66,5316,5328,12,49.87,19.84,Proulx Angelique,University of Ottawa Gee-Gees,Shots on goal,3
