ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,57,69,12,47.85,19.93,Smythe Emily,Carleton Ravens,Shots on goal,1
2,86,98,12,47.76,4.18,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,1
3,187,199,12,53.44,12.62,Beard Justina,Carleton Ravens,Shots on goal,1
4,205,217,12,44.37,21.73,MacNeil Nicole,Carleton Ravens,Shots on goal,1
5,239,251,12,53.17,11.67,Scurfield Annika,Carleton Ravens,Shots on goal,1
6,408,420,12,46.84,5.6,Minville Ariane,University of Ottawa Gee-Gees,Shots on goal,1
7,498,510,12,51.88,9.11,Vail Kiah,University of Ottawa Gee-Gees,Shots on goal,1
8,545,557,12,55.09,11.01,Chouchani Stephanie,Carleton Ravens,Shots on goal,1
9,546,558,12,55.18,14.43,Unis-Thibault Hanna,Carleton Ravens,Shots on goal,1
10,569,581,12,55,17.08,Unis-Thibault Hanna,Carleton Ravens,Shots on goal,1
11,572,584,12,54.36,17.65,Grosso Jackie,Carleton Ravens,Shots on goal,1
12,675,687,12,49.78,13.1,Proulx Angelique,University of Ottawa Gee-Gees,Shots on goal,1
13,712,724,12,47.58,16.32,Todd Jade,University of Ottawa Gee-Gees,Shots on goal,1
14,803,815,12,48.86,16.99,Birkby Katherine,University of Ottawa Gee-Gees,Shots on goal,1
15,886,898,12,55.92,14.71,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,1
16,1239,1251,12,51.7,7.59,Biesenthal Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
17,1324,1336,12,40.79,3.23,Hunter Nicole,Carleton Ravens,Shots on goal,1
18,1329,1341,12,52.8,19.36,Hachez Sandrine,Carleton Ravens,Shots on goal,1
19,1358,1370,12,54.91,8.64,MacLean Kate,University of Ottawa Gee-Gees,Shots on goal,1
20,1383,1395,12,50.05,11.58,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
21,1473,1485,12,56.93,15.57,Gagnon Arianne,University of Ottawa Gee-Gees,Shots on goal,1
22,1622,1634,12,42.44,3.51,Andrews Samantha,Carleton Ravens,Shots on goal,2
23,1932,1944,12,50.88,6.45,Berta Sydney,Carleton Ravens,Shots on goal,2
24,1942,1954,12,50.69,4.27,Birkby Katherine,University of Ottawa Gee-Gees,Shots on goal,2
25,1969,1981,12,41.07,11.29,Minville Ariane,University of Ottawa Gee-Gees,Shots on goal,2
26,2068,2080,12,39.97,24.11,Vail Kiah,University of Ottawa Gee-Gees,Shots on goal,2
27,2119,2131,12,55,23.16,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,2
28,2182,2194,12,36.39,12.81,Beard Justina,Carleton Ravens,Shots on goal,2
29,2353,2365,12,41.43,17.46,MacNeil Nicole,Carleton Ravens,Goals,2
30,2353,2365,12,41.43,17.46,MacNeil Nicole,Carleton Ravens,Shots on goal,2
31,2635,2647,12,31.99,21.92,Chouchani Stephanie,Carleton Ravens,Shots on goal,2
32,3067,3079,12,52.07,14.24,Fillion Alice,University of Ottawa Gee-Gees,Shots on goal,3
33,3102,3114,12,48.03,15.57,Deaudelin Christine,University of Ottawa Gee-Gees,Shots on goal,3
34,3231,3243,12,44.37,18.41,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,3
35,3254,3266,12,47.39,17.37,Gagnon Arianne,University of Ottawa Gee-Gees,Shots on goal,3
36,3589,3601,12,55.73,11.01,Birkby Katherine,University of Ottawa Gee-Gees,Goals,3
37,3589,3601,12,55.73,11.01,Birkby Katherine,University of Ottawa Gee-Gees,Shots on goal,3
38,3948,3960,12,55.28,13.95,Grosso Jackie,Carleton Ravens,Goals,3
39,3948,3960,12,55.28,13.95,Grosso Jackie,Carleton Ravens,Shots on goal,3
40,4101,4113,12,44.28,12.53,Lengyel Kate,Carleton Ravens,Shots on goal,3
41,4322,4334,12,39.51,10.35,Kraczynski Mikaila,University of Ottawa Gee-Gees,Shots on goal,3
42,4554,4566,12,46.84,18.79,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,3
43,4640,4652,12,45.83,10.44,Lalonde Kylie,University of Ottawa Gee-Gees,Shots on goal,3
