ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,48,60,12,40.43,18.7,Lavallee Audrey,Carabins Universite de Montreal,Shots on goal,1
2,368,380,12,48.86,5.03,Paquin Emilie-Renee,Carabins Universite de Montreal,Shots on goal,1
3,551,563,12,44.55,24.96,Kraczynski Mikaila,University of Ottawa Gee-Gees,Shots on goal,1
4,621,633,12,54.73,13.86,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,1
5,709,721,12,56.93,8.35,Devine Olivianne,University of Ottawa Gee-Gees,Shots on goal,1
6,731,743,12,32.36,24.68,Clavelle Alexe,University of Ottawa Gee-Gees,Shots on goal,1
7,923,935,12,54.45,12.34,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,1
8,1013,1025,12,56.74,10.06,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
9,1169,1181,12,45.28,18.51,Fontaine Laurie,Carabins Universite de Montreal,Shots on goal,1
10,1206,1218,12,51.24,7.88,Biesenthal Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
11,1253,1265,12,55.73,11.1,Lefebvre Mylene,Carabins Universite de Montreal,Goals,1
12,1253,1265,12,55.73,11.1,Lefebvre Mylene,Carabins Universite de Montreal,Shots on goal,1
13,1360,1372,12,54.54,13.29,Scott Taylor,University of Ottawa Gee-Gees,Shots on goal,1
14,1362,1374,12,54.08,12.81,Fillion Alice,University of Ottawa Gee-Gees,Shots on goal,1
15,1550,1562,12,43.36,3.13,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,1
16,1581,1593,12,40.79,18.89,Gervais Audrey,Carabins Universite de Montreal,Shots on goal,1
17,1588,1600,12,55.55,11.67,Quennec Kaleigh,Carabins Universite de Montreal,Goals,1
18,1588,1600,12,55.55,11.67,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,1
19,1636,1648,12,40.7,8.07,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,1
