ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,108,120,12,31.9,13.1,MacDonald Jaimee,University of Ottawa Gee-Gees,Shots on goal,1
2,370,382,12,53.63,21.92,Pelletier Justine,Carabins Universite de Montreal,Shots on goal,1
3,440,452,12,55.09,10.16,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
4,669,681,12,31.81,18.22,Deaudelin Christine,University of Ottawa Gee-Gees,Shots on goal,1
5,723,735,12,55.83,7.02,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
6,798,810,12,56.93,15.09,Dumont Camille,Carabins Universite de Montreal,Shots on goal,1
7,932,944,12,52.43,13.76,Todd Jade,University of Ottawa Gee-Gees,Shots on goal,1
8,980,992,12,46.84,9.4,Pelletier Justine,Carabins Universite de Montreal,Shots on goal,1
9,984,996,12,51.79,19.74,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
10,1029,1041,12,34.65,24.77,MacDonald Jaimee,University of Ottawa Gee-Gees,Shots on goal,1
11,1106,1118,12,55.18,13.95,Garand Joannie,Carabins Universite de Montreal,Goals,1
12,1106,1118,12,55.18,13.95,Garand Joannie,Carabins Universite de Montreal,Shots on goal,1
13,1166,1178,12,42.17,2.37,Fontaine Laurie,Carabins Universite de Montreal,Shots on goal,1
14,1196,1208,12,40.7,23.73,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,1
15,1335,1347,12,55.18,5.79,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,1
16,1450,1462,12,48.4,15.94,Lalonde Kylie,University of Ottawa Gee-Gees,Shots on goal,1
17,1475,1487,12,49.23,20.78,MacDonald Jaimee,University of Ottawa Gee-Gees,Shots on goal,1
18,1508,1520,12,41.89,19.84,Deaudelin Christine,University of Ottawa Gee-Gees,Shots on goal,1
19,1556,1568,12,50.05,16.42,Todd Jade,University of Ottawa Gee-Gees,Shots on goal,1
20,1855,1867,12,49.41,8.54,Paquin Emilie-Renee,Carabins Universite de Montreal,Shots on goal,2
21,1945,1957,12,47.12,7.31,Gagnon Leyla,Carabins Universite de Montreal,Shots on goal,2
22,1972,1984,12,43.45,19.65,Duchesneau Chloe,Carabins Universite de Montreal,Shots on goal,2
23,1989,2001,12,55.28,5.88,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,2
24,2037,2049,12,54.82,12.62,Lalonde Kylie,University of Ottawa Gee-Gees,Shots on goal,2
25,2098,2110,12,52.71,17.08,Garand Joannie,Carabins Universite de Montreal,Shots on goal,2
26,2108,2120,12,46.48,3.51,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,2
27,2241,2253,12,39.78,21.54,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,2
28,2423,2435,12,48.58,19.65,Birkby Katherine,University of Ottawa Gee-Gees,Shots on goal,2
29,2486,2498,12,48.68,15.75,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
