ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,57,69,12,52.98,16.7,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,1
2,109,121,12,45.83,8.92,Fecteau Emmy,Concordia Stingers,Shots on goal,1
3,114,126,12,56.28,15.09,Rodrigue Audrey-Ann,Concordia Stingers,Shots on goal,1
4,272,284,12,52.34,3.99,Dubois Catherine,Carabins Universite de Montreal,Shots on goal,1
5,328,340,12,56.01,16.23,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,1
6,339,351,12,54.91,14.43,Rodrigue Audrey-Ann,Concordia Stingers,Shots on goal,1
7,348,360,12,47.67,4.56,Nikolidakis Alexandra,Concordia Stingers,Shots on goal,1
8,402,414,12,41.53,5.79,Starnino Erica,Concordia Stingers,Shots on goal,1
9,453,465,12,49.04,16.7,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,1
10,533,545,12,47.58,11.2,Dubois Catherine,Carabins Universite de Montreal,Shots on goal,1
11,604,616,12,52.43,19.08,Lemay Amelie,Concordia Stingers,Shots on goal,1
12,659,671,12,44.28,7.21,Dubois Claudia,Concordia Stingers,Shots on goal,1
13,674,686,12,52.98,10.53,Dubois Claudia,Concordia Stingers,Shots on goal,1
14,795,807,12,46.75,19.84,Laganiere Brigitte,Concordia Stingers,Shots on goal,1
15,811,823,12,52.25,7.59,Laganiere Brigitte,Concordia Stingers,Shots on goal,1
16,838,850,12,54.82,23.92,Dubois Claudia,Concordia Stingers,Shots on goal,1
17,885,897,12,46.93,7.69,Belzile Audrey,Concordia Stingers,Shots on goal,1
18,1032,1044,12,41.34,14.52,Poirier Kim,Carabins Universite de Montreal,Shots on goal,1
19,1068,1080,12,53.63,25.53,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,1
20,1123,1135,12,47.76,16.99,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
21,1282,1294,12,42.63,18.41,Poirier Kim,Carabins Universite de Montreal,Shots on goal,1
22,1393,1405,12,48.95,6.93,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,1
23,1454,1466,12,55.73,15.66,Labelle Alexandra,Carabins Universite de Montreal,Shots on goal,1
24,1560,1572,12,55.37,13.57,Dubois Claudia,Concordia Stingers,Shots on goal,1
