ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,27,39,12,46.48,4.08,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,1
2,250,262,12,41.62,22.3,Duchesneau Chloe,Carabins Universite de Montreal,Shots on goal,1
3,396,408,12,46.38,16.7,Dube Marie-Pier,Carabins Universite de Montreal,Shots on goal,1
4,586,598,12,53.99,12.91,Paquin Emilie-Renee,Carabins Universite de Montreal,Shots on goal,1
5,678,690,12,34.19,3.8,Dube Marie-Pier,Carabins Universite de Montreal,Shots on goal,1
6,877,889,12,42.08,21.83,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
7,912,924,12,54.82,14.33,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
8,1149,1161,12,42.44,8.07,Deaudelin Christine,University of Ottawa Gee-Gees,Shots on goal,1
9,1235,1247,12,40.33,10.35,Duchesneau Chloe,Carabins Universite de Montreal,Shots on goal,1
10,1306,1318,12,40.33,2.28,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
11,1329,1341,12,56.28,12.34,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,1
12,1334,1346,12,46.48,23.44,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,1
13,1590,1602,12,50.14,4.18,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,2
14,1644,1656,12,53.81,11.58,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,2
15,1753,1765,12,49.5,22.3,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,2
16,1912,1924,12,55.55,11.48,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,2
17,1937,1949,12,57.11,14.81,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,2
18,2030,2042,12,54.91,9.78,MacLean Kate,University of Ottawa Gee-Gees,Shots on goal,2
19,2117,2129,12,40.88,10.63,Reedman Kathleen,University of Ottawa Gee-Gees,Shots on goal,2
20,2127,2139,12,53.44,8.83,Gareau Sophie,University of Ottawa Gee-Gees,Shots on goal,2
21,2173,2185,12,53.72,17.27,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
22,2220,2232,12,55.46,13.48,Garand Joannie,Carabins Universite de Montreal,Shots on goal,2
23,2462,2474,12,49.68,20.78,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,2
24,2645,2657,12,47.21,5.98,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
25,2686,2698,12,41.43,20.12,Reedman Kathleen,University of Ottawa Gee-Gees,Shots on goal,2
26,2876,2888,12,55.28,14.52,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
27,2903,2915,12,55.37,10.72,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,2
28,2961,2973,12,51.33,24.01,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,2
29,3094,3106,12,57.2,16.89,Gagnon Arianne,University of Ottawa Gee-Gees,Shots on goal,3
30,3174,3186,12,50.88,22.78,Birkby Katherine,University of Ottawa Gee-Gees,Shots on goal,3
31,3200,3212,12,52.43,10.25,Lefebvre Mylene,Carabins Universite de Montreal,Shots on goal,3
32,3215,3227,12,60.32,10.25,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,3
33,3321,3333,12,44.55,4.18,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,3
34,3374,3386,12,52.8,24.96,Fillion Alice,University of Ottawa Gee-Gees,Shots on goal,3
35,3405,3417,12,52.53,17.56,Vail Kiah,University of Ottawa Gee-Gees,Shots on goal,3
36,3445,3457,12,54.45,11.77,Birkby Katherine,University of Ottawa Gee-Gees,Shots on goal,3
37,3577,3589,12,57.11,9.97,Lefebvre Mylene,Carabins Universite de Montreal,Shots on goal,3
38,3621,3633,12,55.46,9.4,Biesenthal Alyssa,University of Ottawa Gee-Gees,Shots on goal,3
39,3771,3783,12,51.52,9.87,Garand Joannie,Carabins Universite de Montreal,Shots on goal,3
40,3822,3834,12,43.73,3.23,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
41,3860,3872,12,38.78,4.65,Dondo Breanne,Carabins Universite de Montreal,Shots on goal,3
42,3934,3946,12,39.51,11.67,Gervais Audrey,Carabins Universite de Montreal,Shots on goal,3
43,4133,4145,12,56.01,10.72,Proulx Angelique,University of Ottawa Gee-Gees,Shots on goal,3
44,4207,4219,12,48.68,23.06,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,3
45,4301,4313,12,54.54,7.02,Todd Jade,University of Ottawa Gee-Gees,Shots on goal,3
46,4355,4367,12,53.53,7.88,Quennec Kaleigh,Carabins Universite de Montreal,Goals,3
47,4355,4367,12,53.53,7.88,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,3
48,4466,4478,12,50.78,1.9,Fillion Alice,University of Ottawa Gee-Gees,Shots on goal,3
49,4522,4534,12,45.65,1.52,Fillion Alice,University of Ottawa Gee-Gees,Shots on goal,3
