ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,250,262,12,44.55,3.32,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
2,292,304,12,51.88,8.16,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
3,304,316,12,43.45,17.46,Belzile Audrey,Concordia Stingers,Shots on goal,1
4,843,855,12,52.25,18.6,Clavelle Alexe,University of Ottawa Gee-Gees,Shots on goal,1
5,940,952,12,40.33,11.01,Laganiere Brigitte,Concordia Stingers,Shots on goal,1
6,1256,1268,12,49.96,8.26,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
7,1306,1318,12,51.24,4.56,Gagnon Arianne,University of Ottawa Gee-Gees,Shots on goal,1
8,1504,1516,12,54.73,13,Bernier Marie-Pascale,Concordia Stingers,Goals,2
9,1504,1516,12,54.73,13,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,2
10,1552,1564,12,54.36,9.21,Gagnon Arianne,University of Ottawa Gee-Gees,Goals,2
11,1552,1564,12,54.36,9.21,Gagnon Arianne,University of Ottawa Gee-Gees,Shots on goal,2
12,1824,1836,12,48.95,14.9,Gendreau Chloe,Concordia Stingers,Shots on goal,2
13,1989,2001,12,54.18,18.6,Veillette Sandrine,Concordia Stingers,Shots on goal,2
14,2000,2012,12,54.91,17.46,Fillion Alice,University of Ottawa Gee-Gees,Shots on goal,2
15,2044,2056,12,51.52,9.49,Belzile Audrey,Concordia Stingers,Shots on goal,2
16,2162,2174,12,41.16,20.12,Veillette Sandrine,Concordia Stingers,Shots on goal,2
17,2414,2426,12,54.82,15.19,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
18,2453,2465,12,44,13.57,Veillette Sandrine,Concordia Stingers,Shots on goal,2
19,2576,2588,12,53.81,5.41,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
20,2627,2639,12,53.17,10.53,Macmillan Alyssa,University of Ottawa Gee-Gees,Goals,2
21,2627,2639,12,53.17,10.53,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,2
22,2860,2872,12,41.62,7.21,Laganiere Brigitte,Concordia Stingers,Shots on goal,2
23,2900,2912,12,47.39,18.32,Belzile Audrey,Concordia Stingers,Shots on goal,2
24,2964,2976,12,47.67,6.55,Lavoie Emilie,Concordia Stingers,Shots on goal,2
25,3244,3256,12,47.48,5.98,Julien Ariane,Concordia Stingers,Shots on goal,3
26,3245,3257,12,56.38,11.39,Thibault Zoe,Concordia Stingers,Shots on goal,3
27,3459,3471,12,40.06,15.09,Lemelin Stephanie,Concordia Stingers,Shots on goal,3
28,3620,3632,12,44.92,16.89,Julien Ariane,Concordia Stingers,Shots on goal,3
29,3715,3727,12,55.83,11.86,Lavoie Emilie,Concordia Stingers,Shots on goal,3
30,3822,3834,12,46.93,15.85,Lalancette Stephanie,Concordia Stingers,Shots on goal,3
31,3914,3926,12,40.15,15.57,Lavoie Emilie,Concordia Stingers,Shots on goal,3
32,4098,4110,12,39.51,16.7,Hale Olivia,Concordia Stingers,Shots on goal,3
33,4226,4238,12,54.91,19.27,Gareau Sophie,University of Ottawa Gee-Gees,Shots on goal,3
34,4227,4239,12,56.28,14.62,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,3
35,4416,4428,12,55.55,7.78,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,3
36,4417,4429,12,56.28,10.53,Lalancette Stephanie,Concordia Stingers,Shots on goal,3
37,4437,4449,12,55.55,12.43,Macmillan Alyssa,University of Ottawa Gee-Gees,Goals,3
38,4437,4449,12,55.55,12.43,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,3
39,4552,4564,12,55.28,13,Clavelle Alexe,University of Ottawa Gee-Gees,Goals,3
40,4552,4564,12,55.28,13,Clavelle Alexe,University of Ottawa Gee-Gees,Shots on goal,3
