ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,360,372,12,46.38,12.72,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,1
2,383,395,12,46.2,9.02,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,1
3,411,423,12,53.72,3.32,Dumont Camille,Carabins Universite de Montreal,Shots on goal,1
4,426,438,12,41.89,22.3,Pridham Olivia,McGill Martlets,Shots on goal,1
5,567,579,12,50.88,21.07,Downie-Landry Jade,McGill Martlets,Shots on goal,1
6,591,603,12,52.34,15.75,Stasiuk Cassidy,McGill Martlets,Shots on goal,1
7,617,629,12,50.23,16.89,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,1
8,640,652,12,56.19,9.21,Harley Megan,McGill Martlets,Shots on goal,1
9,650,662,12,47.67,4.18,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,1
10,704,716,12,48.68,21.83,McCallum Makenzie,McGill Martlets,Shots on goal,1
11,807,819,12,39.69,4.08,Fontaine Laurie,Carabins Universite de Montreal,Shots on goal,1
12,940,952,12,45.74,7.12,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,2
13,1006,1018,12,56.83,18.51,Stasiuk Cassidy,McGill Martlets,Shots on goal,2
14,1101,1113,12,42.81,12.91,Stasiuk Cassidy,McGill Martlets,Shots on goal,2
15,1116,1128,12,48.4,19.46,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
16,1128,1140,12,48.77,13.19,Dumont Camille,Carabins Universite de Montreal,Shots on goal,2
17,1190,1202,12,48.58,4.84,Dumont Camille,Carabins Universite de Montreal,Shots on goal,2
18,1230,1242,12,49.41,15.19,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
19,1312,1324,12,49.59,5.41,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,2
20,1410,1422,12,54.63,11.01,Chang Mika,McGill Martlets,Shots on goal,2
21,1465,1477,12,52.34,18.22,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
22,1538,1550,12,45.38,16.42,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,2
23,1567,1579,12,44.64,3.13,Fontaine Laurie,Carabins Universite de Montreal,Goals,2
24,1567,1579,12,44.64,3.13,Fontaine Laurie,Carabins Universite de Montreal,Shots on goal,2
25,2004,2016,12,52.71,6.26,Downie-Landry Jade,McGill Martlets,Shots on goal,3
26,2063,2075,12,50.03,1.5,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,3
27,2087,2099,12,53.38,7.38,Lavallee Audrey,Carabins Universite de Montreal,Shots on goal,3
28,2100,2112,12,51.08,21.38,Pridham Olivia,McGill Martlets,Shots on goal,3
29,2135,2147,12,53.34,25.06,Pridham Olivia,McGill Martlets,Shots on goal,3
30,2181,2193,12,49.88,7.15,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,3
31,2228,2240,12,54.44,13.2,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,3
