ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,20,32,12,50.14,10.91,Downie-Landry Jade,McGill Martlets,Shots on goal,1
2,187,199,12,53.35,12.81,Serniuk Hayden,Carleton Ravens,Shots on goal,1
3,615,627,12,44.37,13.29,Colizza Chrissy,McGill Martlets,Shots on goal,1
4,761,773,12,53.26,14.43,Serniuk Hayden,Carleton Ravens,Shots on goal,1
5,904,916,12,48.4,9.49,Labrecque Marika,McGill Martlets,Shots on goal,1
6,1064,1076,12,52.71,8.45,Rankin Katie,McGill Martlets,Shots on goal,1
7,1363,1375,12,44.64,7.97,Serniuk Hayden,Carleton Ravens,Shots on goal,1
8,1606,1618,12,40.7,8.54,MacNeil Nicole,Carleton Ravens,Shots on goal,1
9,1772,1784,12,57.84,10.91,Hachez Sandrine,Carleton Ravens,Shots on goal,2
10,1887,1899,12,48.22,21.35,Beard Justina,Carleton Ravens,Shots on goal,2
11,1912,1924,12,49.13,4.46,Andrews Samantha,Carleton Ravens,Shots on goal,2
12,2202,2214,12,52.43,16.99,Rankin Katie,McGill Martlets,Shots on goal,2
13,2204,2216,12,55.64,13.67,Rankin Katie,McGill Martlets,Shots on goal,2
14,2204,2216,12,55.83,13,McCallum Makenzie,McGill Martlets,Shots on goal,2
15,2206,2218,12,56.1,12.24,Kastelic Jaime,McGill Martlets,Goals,2
16,2206,2218,12,56.1,12.24,Kastelic Jaime,McGill Martlets,Shots on goal,2
17,2297,2309,12,51.61,20.69,Morais Jenna,Carleton Ravens,Shots on goal,2
18,2336,2348,12,55.18,11.67,Downie-Landry Jade,McGill Martlets,Shots on goal,2
19,2350,2362,12,33.92,22.59,Pridham Olivia,McGill Martlets,Shots on goal,2
20,2384,2396,12,50.42,3.13,Suleman Suraiya,McGill Martlets,Shots on goal,2
21,2587,2599,12,49.78,7.88,Serniuk Hayden,Carleton Ravens,Shots on goal,2
22,2807,2819,12,40.79,21.54,Berta Sydney,Carleton Ravens,Shots on goal,2
23,2941,2953,12,55.09,8.73,Scurfield Annika,Carleton Ravens,Shots on goal,2
24,3196,3208,12,42.72,5.79,Downie-Landry Jade,McGill Martlets,Shots on goal,2
25,3277,3289,12,52.98,7.69,Labrecque Marika,McGill Martlets,Shots on goal,3
26,3414,3426,12,52.89,13.19,McCallum Makenzie,McGill Martlets,Shots on goal,3
27,3431,3443,12,46.57,2.94,Kastelic Jaime,McGill Martlets,Shots on goal,3
28,3693,3705,12,52.16,8.26,Jardin Laura,McGill Martlets,Shots on goal,3
29,3742,3754,12,40.7,12.15,Pridham Olivia,McGill Martlets,Shots on goal,3
30,3806,3818,12,51.33,7.78,Labrecque Marika,McGill Martlets,Shots on goal,3
31,3807,3819,12,54.54,11.39,Stasiuk Cassidy,McGill Martlets,Shots on goal,3
32,3947,3959,12,53.26,17.94,Jardin Laura,McGill Martlets,Shots on goal,3
33,3980,3992,12,50.42,7.97,Downie-Landry Jade,McGill Martlets,Goals,3
34,3980,3992,12,50.42,7.97,Downie-Landry Jade,McGill Martlets,Shots on goal,3
35,4045,4057,12,51.7,19.08,Downie-Landry Jade,McGill Martlets,Goals,3
36,4045,4057,12,51.7,19.08,Downie-Landry Jade,McGill Martlets,Shots on goal,3
37,4184,4196,12,44.37,11.48,Rankin Katie,McGill Martlets,Shots on goal,3
38,4691,4703,12,47.94,21.35,Pridham Olivia,McGill Martlets,Shots on goal,3
39,4732,4744,12,50.97,20.69,MacLellan Lydia,McGill Martlets,Shots on goal,3
