ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,101,113,12,53.9,9.49,Thibault Zoe,Concordia Stingers,Shots on goal,1
2,332,344,12,53.08,16.13,Hale Olivia,Concordia Stingers,Shots on goal,1
3,467,479,12,41.98,12.91,Philbert Leonie,Concordia Stingers,Shots on goal,1
4,531,543,12,52.16,9.3,Gendreau Chloe,Concordia Stingers,Shots on goal,1
5,547,559,12,50.14,17.84,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,1
6,631,643,12,54.45,12.24,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
7,662,674,12,48.13,6.93,Verbruggen Raelene,McGill Martlets,Shots on goal,1
8,714,726,12,44.55,6.45,MacLellan Lydia,McGill Martlets,Shots on goal,1
9,724,736,12,54.54,14.52,Downie-Landry Jade,McGill Martlets,Shots on goal,1
10,742,754,12,42.44,9.21,McCallum Makenzie,McGill Martlets,Shots on goal,1
11,777,789,12,50.42,19.36,Gendreau Chloe,Concordia Stingers,Shots on goal,1
12,1063,1075,12,55.55,10.91,Harley Megan,McGill Martlets,Shots on goal,1
13,1074,1086,12,47.76,7.4,Boulanger Alexandra,Concordia Stingers,Shots on goal,1
14,1217,1229,12,44.09,17.75,Veillette Sandrine,Concordia Stingers,Shots on goal,1
15,1223,1235,12,50.88,19.27,Bureau-Gagnon Megan,Concordia Stingers,Shots on goal,1
16,1267,1279,12,49.41,17.08,Manarolis Maria,Concordia Stingers,Shots on goal,1
17,1303,1315,12,43.36,8.83,Laganiere Brigitte,Concordia Stingers,Shots on goal,1
18,1404,1416,12,51.24,7.02,Lavoie Emilie,Concordia Stingers,Shots on goal,1
19,1416,1428,12,50.14,19.17,Drapeau Jessymaude,Concordia Stingers,Shots on goal,1
20,1464,1476,12,53.26,11.2,Belzile Audrey,Concordia Stingers,Shots on goal,1
21,1621,1633,12,44.64,5.13,Downie-Landry Jade,McGill Martlets,Shots on goal,2
22,1790,1802,12,55.64,15.09,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,2
23,1822,1834,12,44.92,7.21,Rankin Katie,McGill Martlets,Shots on goal,2
24,1966,1978,12,47.21,18.89,Boulanger Alexandra,Concordia Stingers,Shots on goal,2
25,2006,2018,12,47.21,7.97,Philbert Leonie,Concordia Stingers,Shots on goal,2
26,2048,2060,12,48.03,12.72,Jardin Laura,McGill Martlets,Shots on goal,2
27,2116,2128,12,42.81,17.27,Rankin Katie,McGill Martlets,Shots on goal,2
28,2270,2282,12,48.68,22.21,Veillette Sandrine,Concordia Stingers,Shots on goal,2
29,2330,2342,12,50.05,12.34,Lavoie Emilie,Concordia Stingers,Goals,2
30,2330,2342,12,50.05,12.34,Lavoie Emilie,Concordia Stingers,Shots on goal,2
31,2397,2409,12,48.4,9.59,McCallum Makenzie,McGill Martlets,Shots on goal,2
32,2413,2425,12,52.43,23.44,Bureau-Gagnon Megan,Concordia Stingers,Shots on goal,2
33,2473,2485,12,47.48,21.64,Chang Mika,McGill Martlets,Shots on goal,2
