ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,68,80,12,52.71,18.89,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,1
2,72,84,12,54.18,9.78,Gendreau Chloe,Concordia Stingers,Goals,1
3,72,84,12,54.18,9.78,Gendreau Chloe,Concordia Stingers,Shots on goal,1
4,400,412,12,45.38,15.85,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,1
5,556,568,12,55.55,13.57,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,1
6,714,726,12,48.49,20.5,Manarolis Maria,Concordia Stingers,Shots on goal,1
7,760,772,12,48.4,9.97,Gervais Audrey,Carabins Universite de Montreal,Shots on goal,1
8,1000,1012,12,48.03,6.36,Lavoie Emilie,Concordia Stingers,Goals,1
9,1000,1012,12,48.03,6.36,Lavoie Emilie,Concordia Stingers,Shots on goal,1
10,1147,1159,12,49.59,17.18,Garand Joannie,Carabins Universite de Montreal,Shots on goal,1
11,1206,1218,12,55,14.43,Manarolis Maria,Concordia Stingers,Shots on goal,1
12,1395,1407,12,46.02,7.02,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,1
13,1442,1454,12,51.98,11.58,Belzile Audrey,Concordia Stingers,Shots on goal,1
14,1443,1455,12,55.64,9.49,Drapeau Jessymaude,Concordia Stingers,Shots on goal,1
15,1605,1617,12,52.53,15.38,Fontaine Laurie,Carabins Universite de Montreal,Goals,1
16,1605,1617,12,52.53,15.38,Fontaine Laurie,Carabins Universite de Montreal,Shots on goal,1
17,1770,1782,12,50.88,20.88,Drapeau Jessymaude,Concordia Stingers,Shots on goal,2
18,1936,1948,12,53.72,19.17,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
19,2095,2107,12,48.68,20.31,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
20,2111,2123,12,49.23,4.18,Gendreau Chloe,Concordia Stingers,Shots on goal,2
21,2161,2173,12,55.55,11.39,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,2
22,2176,2188,12,53.72,17.56,Lavoie Emilie,Concordia Stingers,Shots on goal,2
23,2418,2430,12,50.78,7.69,Thibault Zoe,Concordia Stingers,Goals,2
24,2418,2430,12,50.78,7.69,Thibault Zoe,Concordia Stingers,Shots on goal,2
25,2624,2636,12,55.15,12.24,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,2
26,2631,2643,12,42.42,24.01,Lavallee Audrey,Carabins Universite de Montreal,Shots on goal,2
27,3085,3097,12,40.3,5.5,Philbert Leonie,Concordia Stingers,Shots on goal,2
28,3139,3151,12,54.87,11.58,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
29,3274,3286,12,54.32,5.03,Philbert Leonie,Concordia Stingers,Shots on goal,2
30,3526,3538,12,50.14,17.75,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
31,3704,3716,12,49.68,8.16,Chiasson Noemie,Carabins Universite de Montreal,Shots on goal,3
32,3729,3741,12,54.73,21.35,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,3
33,3738,3750,12,54.54,12.72,Boulanger Alexandra,Concordia Stingers,Shots on goal,3
34,3807,3819,12,53.17,8.92,Belzile Audrey,Concordia Stingers,Shots on goal,3
35,3936,3948,12,50.33,21.16,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,3
36,3941,3953,12,56.28,16.13,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,3
37,4021,4033,12,40.98,13.19,Lemelin Stephanie,Concordia Stingers,Shots on goal,3
38,4063,4075,12,54.08,8.83,Thibault Zoe,Concordia Stingers,Shots on goal,3
39,4114,4126,12,51.61,7.97,Drapeau Jessymaude,Concordia Stingers,Shots on goal,3
40,4387,4399,12,53.99,11.96,Gendreau Chloe,Concordia Stingers,Shots on goal,3
41,4436,4448,12,54.18,11.1,Chiasson Noemie,Carabins Universite de Montreal,Goals,3
42,4436,4448,12,54.18,11.1,Chiasson Noemie,Carabins Universite de Montreal,Shots on goal,3
43,4554,4566,12,44.73,4.65,Lemelin Stephanie,Concordia Stingers,Shots on goal,3
44,4657,4669,12,42.08,12.81,Hale Olivia,Concordia Stingers,Shots on goal,3
45,4757,4769,12,49.5,3.61,Thibault Zoe,Concordia Stingers,Shots on goal,3
46,4893,4905,12,50.97,16.99,Calderone Alexandra,Concordia Stingers,Shots on goal,3
47,4931,4943,12,49.78,16.7,Begin-Cyr Rosalie,Concordia Stingers,Goals,3
48,4931,4943,12,49.78,16.7,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,3
49,5153,5165,12,49.32,20.78,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
50,5192,5204,12,53.08,13.86,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,3
51,5332,5344,12,54.82,11.39,Chiasson Noemie,Carabins Universite de Montreal,Shots on goal,3
52,5334,5346,12,54.82,13.67,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,3
53,5357,5369,12,49.68,16.99,Chiasson Noemie,Carabins Universite de Montreal,Shots on goal,3
54,5408,5420,12,55,14.14,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,3
