ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,133,145,12,44.57,7.2,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
2,169,181,12,50.67,4.81,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
3,195,207,12,45.36,14.2,Belzile Audrey,Concordia Stingers,Shots on goal,1
4,259,271,12,47.73,7.2,Drapeau Jessymaude,Concordia Stingers,Shots on goal,1
5,261,273,12,55,13.51,Manarolis Maria,Concordia Stingers,Shots on goal,1
6,276,288,12,42.38,13.27,Lemelin Stephanie,Concordia Stingers,Shots on goal,1
7,305,317,12,53.46,16.77,Rankin Katie,McGill Martlets,Shots on goal,1
8,357,369,12,50.25,21.68,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,1
9,413,425,12,53.46,14.17,Begin-Cyr Rosalie,Concordia Stingers,Goals,1
10,413,425,12,53.46,14.17,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,1
11,555,567,12,33.58,23.69,Hale Olivia,Concordia Stingers,Shots on goal,1
12,705,717,12,59.47,9.14,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,1
13,808,820,12,48.34,8.49,Rodrigue Audrey-Ann,Concordia Stingers,Shots on goal,1
14,855,867,12,46.19,7.85,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
15,935,947,12,49.99,19.04,McCallum Makenzie,McGill Martlets,Shots on goal,1
16,981,993,12,48.31,7.89,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,1
17,1031,1043,12,56.12,14.53,Gendreau Chloe,Concordia Stingers,Shots on goal,1
18,1387,1399,12,48.31,17.75,Labrecque Marika,McGill Martlets,Shots on goal,1
19,1526,1538,12,50.93,12.63,Yelle Justine,Concordia Stingers,Shots on goal,1
20,1540,1552,12,45.7,22.69,Manarolis Maria,Concordia Stingers,Shots on goal,1
21,1738,1750,12,55.64,10.72,Lalancette Stephanie,Concordia Stingers,Goals,2
22,1738,1750,12,55.64,10.72,Lalancette Stephanie,Concordia Stingers,Shots on goal,2
23,1782,1794,12,49.96,10.06,Begin-Cyr Rosalie,Concordia Stingers,Goals,2
24,1782,1794,12,49.96,10.06,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
25,1879,1891,12,52.07,16.42,Chang Mika,McGill Martlets,Shots on goal,2
26,1906,1918,12,48.77,24.2,Philbert Leonie,Concordia Stingers,Shots on goal,2
27,1958,1970,12,42.9,23.44,Hale Olivia,Concordia Stingers,Shots on goal,2
28,2197,2209,12,51.15,18.41,Manarolis Maria,Concordia Stingers,Shots on goal,2
29,2250,2262,12,48.58,24.96,Mura Elizabeth,McGill Martlets,Shots on goal,2
30,2351,2363,12,50.51,21.64,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,2
31,2383,2395,12,50.42,18.41,Lavoie Emilie,Concordia Stingers,Shots on goal,2
32,2392,2404,12,51.7,18.51,Rankin Katie,McGill Martlets,Shots on goal,2
33,2451,2463,12,56.56,18.32,Lavoie Emilie,Concordia Stingers,Shots on goal,2
34,2694,2706,12,48.31,23.92,McCallum Makenzie,McGill Martlets,Shots on goal,2
35,2763,2775,12,46.38,19.46,Fecteau Emmy,Concordia Stingers,Shots on goal,2
36,2787,2799,12,55.83,16.99,Lavoie Emilie,Concordia Stingers,Shots on goal,2
37,2861,2873,12,53.08,5.22,Downie-Landry Jade,McGill Martlets,Shots on goal,2
38,2941,2953,12,54.36,13.38,McCallum Makenzie,McGill Martlets,Shots on goal,2
39,2982,2994,12,53.44,12.81,Campbell Quynn,McGill Martlets,Shots on goal,2
40,3037,3049,12,39.78,23.35,Julien Ariane,Concordia Stingers,Shots on goal,2
41,3048,3060,12,50.33,4.46,Gendreau Chloe,Concordia Stingers,Shots on goal,2
42,3054,3066,12,39.51,19.27,Julien Ariane,Concordia Stingers,Shots on goal,2
43,3356,3368,12,56.56,10.91,Belzile Audrey,Concordia Stingers,Shots on goal,2
44,3360,3372,12,52.8,13.38,Lalancette Stephanie,Concordia Stingers,Shots on goal,2
45,3399,3411,12,50.69,5.88,Piers Emma,McGill Martlets,Shots on goal,2
46,3432,3444,12,46.11,5.69,Piers Emma,McGill Martlets,Shots on goal,2
47,3561,3573,12,39.6,20.6,Mura Elizabeth,McGill Martlets,Shots on goal,2
48,3690,3702,12,48.86,13.48,Belzile Audrey,Concordia Stingers,Shots on goal,3
49,3739,3751,12,41.07,8.92,Julien Ariane,Concordia Stingers,Shots on goal,3
50,3874,3886,12,49.59,20.22,Drapeau Jessymaude,Concordia Stingers,Shots on goal,3
51,3979,3991,12,42.44,20.31,Jardin Laura,McGill Martlets,Shots on goal,3
52,4212,4224,12,42.53,20.78,Lavoie Emilie,Concordia Stingers,Shots on goal,3
53,4242,4254,12,42.81,18.41,Lavoie Emilie,Concordia Stingers,Shots on goal,3
54,4644,4656,12,39.88,13.86,Lemelin Stephanie,Concordia Stingers,Shots on goal,3
55,4659,4671,12,50.23,18.03,Manarolis Maria,Concordia Stingers,Shots on goal,3
56,4730,4742,12,40.79,9.11,Lalancette Stephanie,Concordia Stingers,Shots on goal,3
57,4782,4794,12,47.94,8.73,Philbert Leonie,Concordia Stingers,Shots on goal,3
58,4918,4930,12,48.49,14.62,Yelle Justine,Concordia Stingers,Shots on goal,3
59,5032,5044,12,50.14,12.81,Lavoie Emilie,Concordia Stingers,Shots on goal,3
60,5203,5215,12,45.47,19.36,Julien Ariane,Concordia Stingers,Shots on goal,3
61,5281,5293,12,45.93,16.7,Colizza Chrissy,McGill Martlets,Shots on goal,3
62,5307,5319,12,49.78,19.46,Labrecque Marika,McGill Martlets,Shots on goal,3
63,5327,5339,12,47.76,8.35,Rankin Katie,McGill Martlets,Shots on goal,3
64,5432,5444,12,46.75,22.11,Jardin Laura,McGill Martlets,Shots on goal,3
65,5454,5466,12,46.11,4.08,Downie-Landry Jade,McGill Martlets,Shots on goal,3
