ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,10,22,12,46.2,4.65,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,1
2,50,62,12,45.74,12.43,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
3,146,158,12,35.66,24.39,Jardin Laura,McGill Martlets,Shots on goal,1
4,343,355,12,49.5,11.86,Rankin Katie,McGill Martlets,Shots on goal,1
5,386,398,12,48.13,19.36,Desjardins Stephanie,McGill Martlets,Shots on goal,1
6,388,400,12,55.09,14.9,Desjardins Stephanie,McGill Martlets,Shots on goal,1
7,419,431,12,43.91,17.37,Fecteau Emmy,Concordia Stingers,Shots on goal,1
8,456,468,12,49.87,4.65,Drapeau Jessymaude,Concordia Stingers,Shots on goal,1
9,470,482,12,43.36,11.86,Fecteau Emmy,Concordia Stingers,Shots on goal,1
10,479,491,12,49.04,14.14,Downie-Landry Jade,McGill Martlets,Shots on goal,1
11,700,712,12,45.56,23.54,Labrecque Marika,McGill Martlets,Shots on goal,1
12,733,745,12,49.23,9.68,Labrecque Marika,McGill Martlets,Shots on goal,1
13,781,793,12,45.74,22.78,Drapeau Jessymaude,Concordia Stingers,Shots on goal,1
14,964,976,12,53.9,14.33,Thibault Zoe,Concordia Stingers,Goals,1
15,964,976,12,53.9,14.33,Thibault Zoe,Concordia Stingers,Shots on goal,1
16,1034,1046,12,48.03,24.01,Downie-Landry Jade,McGill Martlets,Shots on goal,1
17,1104,1116,12,46.48,6.74,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
18,1238,1250,12,44.18,4.84,Laganiere Brigitte,Concordia Stingers,Shots on goal,1
19,1302,1314,12,53.08,14.62,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
20,1327,1339,12,51.61,19.36,Lavoie Emilie,Concordia Stingers,Shots on goal,1
21,1384,1396,12,36.39,24.96,Manarolis Maria,Concordia Stingers,Shots on goal,1
22,1427,1439,12,42.17,1.71,Stasiuk Cassidy,McGill Martlets,Shots on goal,1
23,1441,1453,12,48.13,7.88,Pridham Olivia,McGill Martlets,Shots on goal,1
24,1495,1507,12,38.68,22.02,Pridham Olivia,McGill Martlets,Shots on goal,1
25,1542,1554,12,45.1,23.82,Manarolis Maria,Concordia Stingers,Shots on goal,1
26,1587,1599,12,49.5,17.18,Drapeau Jessymaude,Concordia Stingers,Shots on goal,2
27,1909,1921,12,55,13.86,Rankin Katie,McGill Martlets,Goals,2
28,1909,1921,12,55,13.86,Rankin Katie,McGill Martlets,Shots on goal,2
29,2059,2071,12,47.58,21.16,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
30,2318,2330,12,53.17,17.18,Lavoie Emilie,Concordia Stingers,Shots on goal,2
31,2353,2365,12,40.33,23.06,Lavoie Emilie,Concordia Stingers,Shots on goal,2
32,2549,2561,12,54.45,15.09,Laganiere Brigitte,Concordia Stingers,Shots on goal,2
33,2579,2591,12,49.32,7.97,Drapeau Jessymaude,Concordia Stingers,Shots on goal,2
34,2616,2628,12,47.03,20.31,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
35,2702,2714,12,47.76,5.41,Laganiere Brigitte,Concordia Stingers,Goals,2
36,2702,2714,12,47.76,5.41,Laganiere Brigitte,Concordia Stingers,Shots on goal,2
37,2775,2787,12,48.03,20.5,Thibault Zoe,Concordia Stingers,Shots on goal,2
38,3047,3059,12,50.05,6.93,Drapeau Jessymaude,Concordia Stingers,Goals,2
39,3047,3059,12,50.05,6.93,Drapeau Jessymaude,Concordia Stingers,Shots on goal,2
40,3179,3191,12,53.81,5.22,Rankin Katie,McGill Martlets,Shots on goal,2
41,3381,3393,12,41.53,5.69,Lalancette Stephanie,Concordia Stingers,Shots on goal,2
42,3407,3419,12,53.26,14.05,Jardin Laura,McGill Martlets,Shots on goal,2
43,3489,3501,12,48.77,15.47,McCallum Makenzie,McGill Martlets,Shots on goal,3
44,3634,3646,12,40.52,11.39,Laganiere Brigitte,Concordia Stingers,Shots on goal,3
45,3903,3915,12,51.43,16.23,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,3
46,3920,3932,12,53.08,8.54,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,3
47,3967,3979,12,55.37,14.24,Jardin Laura,McGill Martlets,Goals,3
48,3967,3979,12,55.37,14.24,Jardin Laura,McGill Martlets,Shots on goal,3
49,4062,4074,12,55.18,11.58,Begin-Cyr Rosalie,Concordia Stingers,Goals,3
50,4062,4074,12,55.18,11.58,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,3
51,4143,4155,12,48.4,21.54,Laganiere Brigitte,Concordia Stingers,Shots on goal,3
52,4155,4167,12,44.55,5.88,Lemelin Stephanie,Concordia Stingers,Shots on goal,3
53,4294,4306,12,42.72,23.54,McCallum Makenzie,McGill Martlets,Shots on goal,3
54,4331,4343,12,39.23,6.07,Pridham Olivia,McGill Martlets,Shots on goal,3
55,4516,4528,12,49.04,21.16,Thibault Zoe,Concordia Stingers,Shots on goal,3
56,4609,4621,12,40.24,5.79,Downie-Landry Jade,McGill Martlets,Shots on goal,3
57,4821,4833,12,43.82,5.5,MacLellan Lydia,McGill Martlets,Shots on goal,3
58,4963,4975,12,41.25,5.22,Pridham Olivia,McGill Martlets,Shots on goal,3
59,5069,5081,12,49.23,19.08,Julien Ariane,Concordia Stingers,Shots on goal,3
60,5159,5171,12,52.89,5.98,Labrecque Marika,McGill Martlets,Goals,3
61,5159,5171,12,52.89,5.98,Labrecque Marika,McGill Martlets,Shots on goal,3
