ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,138,150,12,46.02,13.19,Grosso Jackie,Carleton Ravens,Shots on goal,1
2,279,291,12,54.27,21.83,Scurfield Annika,Carleton Ravens,Shots on goal,1
3,330,342,12,50.23,5.41,Grosso Jackie,Carleton Ravens,Shots on goal,1
4,417,429,12,53.72,14.43,Stasiuk Cassidy,McGill Martlets,Shots on goal,1
5,425,437,12,42.9,2.47,Stasiuk Cassidy,McGill Martlets,Shots on goal,1
6,525,537,12,51.24,7.78,Colizza Chrissy,McGill Martlets,Shots on goal,1
7,651,663,12,55.92,10.72,McCallum Makenzie,McGill Martlets,Goals,1
8,651,663,12,55.92,10.72,McCallum Makenzie,McGill Martlets,Shots on goal,1
9,762,774,12,49.59,13.76,Scurfield Annika,Carleton Ravens,Shots on goal,1
10,841,853,12,54.18,22.11,Scurfield Annika,Carleton Ravens,Shots on goal,1
11,861,873,12,47.58,19.84,Downie-Landry Jade,McGill Martlets,Shots on goal,1
12,958,970,12,52.98,16.89,Serniuk Hayden,Carleton Ravens,Shots on goal,1
13,1042,1054,12,40.24,14.81,Pridham Olivia,McGill Martlets,Goals,1
14,1042,1054,12,40.24,14.81,Pridham Olivia,McGill Martlets,Shots on goal,1
15,1306,1318,12,50.6,16.32,Labrecque Marika,McGill Martlets,Shots on goal,1
16,1307,1319,12,55.64,13.29,Colizza Chrissy,McGill Martlets,Shots on goal,1
17,1308,1320,12,53.81,12.72,Downie-Landry Jade,McGill Martlets,Shots on goal,1
18,1351,1363,12,40.15,6.36,Verbruggen Raelene,McGill Martlets,Shots on goal,1
19,1466,1478,12,50.69,15.28,Rankin Katie,McGill Martlets,Shots on goal,1
20,1672,1684,12,50.05,17.08,Smythe Emily,Carleton Ravens,Shots on goal,2
21,1699,1711,12,53.63,14.24,Downie-Landry Jade,McGill Martlets,Goals,2
22,1699,1711,12,53.63,14.24,Downie-Landry Jade,McGill Martlets,Shots on goal,2
23,1759,1771,12,51.98,15.19,Jardin Laura,McGill Martlets,Shots on goal,2
24,1878,1890,12,48.13,9.4,Hunter Nicole,Carleton Ravens,Goals,2
25,1878,1890,12,48.13,9.4,Hunter Nicole,Carleton Ravens,Shots on goal,2
26,1947,1959,12,40.43,9.68,Vaananen Mia,McGill Martlets,Shots on goal,2
27,2042,2054,12,41.53,15.85,Quarto Lucie,Carleton Ravens,Shots on goal,2
28,2114,2126,12,40.7,19.93,Hunter Nicole,Carleton Ravens,Shots on goal,2
29,2136,2148,12,49.5,18.41,Chouchani Stephanie,Carleton Ravens,Shots on goal,2
30,2229,2241,12,41.43,1.99,Andrews Samantha,Carleton Ravens,Shots on goal,2
31,2423,2435,12,51.15,17.84,Scurfield Annika,Carleton Ravens,Shots on goal,2
32,2497,2509,12,56.56,19.93,Keeper Stephanie,McGill Martlets,Shots on goal,2
33,2537,2549,12,48.22,18.22,Serniuk Hayden,Carleton Ravens,Shots on goal,2
34,2537,2549,12,51.79,13.67,Guimond Lanie,Carleton Ravens,Shots on goal,2
35,2677,2689,12,50.42,4.75,Andrews Samantha,Carleton Ravens,Shots on goal,2
36,2723,2735,12,51.24,17.84,Chouchani Stephanie,Carleton Ravens,Shots on goal,2
37,2793,2805,12,52.43,11.77,Serniuk Hayden,Carleton Ravens,Shots on goal,2
38,2807,2819,12,53.72,9.49,Smythe Emily,Carleton Ravens,Shots on goal,2
39,2877,2889,12,55.09,11.48,McCallum Makenzie,McGill Martlets,Shots on goal,2
40,2944,2956,12,41.16,20.12,Pridham Olivia,McGill Martlets,Shots on goal,2
41,2970,2982,12,52.07,23.92,Stasiuk Cassidy,McGill Martlets,Shots on goal,2
42,3062,3074,12,55.92,10.91,Piers Emma,McGill Martlets,Shots on goal,2
43,3069,3081,12,39.51,23.35,Stevens Ria,McGill Martlets,Shots on goal,2
44,3258,3270,12,53.99,16.51,Downie-Landry Jade,McGill Martlets,Shots on goal,2
45,3303,3315,12,46.66,1.8,Stasiuk Cassidy,McGill Martlets,Shots on goal,2
46,3395,3407,12,42.53,21.26,MacNeil Nicole,Carleton Ravens,Shots on goal,3
47,3468,3480,12,43.27,4.37,Kastelic Jaime,McGill Martlets,Shots on goal,3
48,3541,3553,12,50.78,19.27,Labrecque Marika,McGill Martlets,Shots on goal,3
49,3859,3871,12,52.16,4.08,Downie-Landry Jade,McGill Martlets,Shots on goal,3
50,3896,3908,12,56.38,11.77,Labrecque Marika,McGill Martlets,Shots on goal,3
51,4123,4135,12,52.89,5.98,Chouchani Stephanie,Carleton Ravens,Shots on goal,3
52,4213,4225,12,45.01,8.73,Lengyel Kate,Carleton Ravens,Shots on goal,3
53,4223,4235,12,48.77,6.36,Piers Emma,McGill Martlets,Shots on goal,3
54,4278,4290,12,41.53,9.78,MacNeil Nicole,Carleton Ravens,Shots on goal,3
55,4306,4318,12,39.69,13,Hunter Nicole,Carleton Ravens,Shots on goal,3
56,4323,4335,12,57.38,10.16,Downie-Landry Jade,McGill Martlets,Shots on goal,3
57,4409,4421,12,47.85,5.13,Vaananen Mia,McGill Martlets,Shots on goal,3
58,4582,4594,12,53.9,3.04,Kastelic Jaime,McGill Martlets,Shots on goal,3
59,4640,4652,12,46.2,7.12,Downie-Landry Jade,McGill Martlets,Shots on goal,3
60,4672,4684,12,53.35,9.49,Colizza Chrissy,McGill Martlets,Shots on goal,3
61,4714,4726,12,47.76,23.44,Mura Elizabeth,McGill Martlets,Shots on goal,3
62,4825,4837,12,55.55,14.14,Piers Emma,McGill Martlets,Goals,3
63,4825,4837,12,55.55,14.14,Piers Emma,McGill Martlets,Shots on goal,3
64,4880,4892,12,50.05,13.57,Callocchia Angelina,Carleton Ravens,Shots on goal,3
65,4896,4908,12,55.83,13.1,Berta Sydney,Carleton Ravens,Goals,3
66,4896,4908,12,55.83,13.1,Berta Sydney,Carleton Ravens,Shots on goal,3
67,5138,5150,12,53.08,18.41,Hunter Nicole,Carleton Ravens,Shots on goal,3
