ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,44,56,12,50.05,12.24,Birkby Katherine,University of Ottawa Gee-Gees,Goals,1
2,44,56,12,50.05,12.24,Birkby Katherine,University of Ottawa Gee-Gees,Shots on goal,1
3,101,113,12,51.33,15.47,Downie-Landry Jade,McGill Martlets,Goals,1
4,101,113,12,51.33,15.47,Downie-Landry Jade,McGill Martlets,Shots on goal,1
5,410,422,12,53.44,7.5,Clavelle Alexe,University of Ottawa Gee-Gees,Shots on goal,1
6,415,427,12,40.52,17.75,Vail Kiah,University of Ottawa Gee-Gees,Shots on goal,1
7,449,461,12,45.38,20.5,Gareau Sophie,University of Ottawa Gee-Gees,Shots on goal,1
8,491,503,12,49.13,11.77,McCallum Makenzie,McGill Martlets,Shots on goal,1
9,533,545,12,49.96,16.42,Campbell Quynn,McGill Martlets,Shots on goal,1
10,550,562,12,53.53,18.51,Campbell Quynn,McGill Martlets,Shots on goal,1
11,644,656,12,54.63,12.43,Colizza Chrissy,McGill Martlets,Shots on goal,1
12,684,696,12,53.99,9.49,Harley Megan,McGill Martlets,Shots on goal,1
13,738,750,12,49.87,14.14,Biesenthal Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
14,769,781,12,45.1,4.94,Biesenthal Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
15,909,921,12,45.01,13.67,Desjardins Stephanie,McGill Martlets,Shots on goal,1
16,1229,1241,12,48.86,4.37,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
17,1289,1301,12,53.53,8.45,Stasiuk Cassidy,McGill Martlets,Shots on goal,1
18,1415,1427,12,54.27,7.4,Rankin Katie,McGill Martlets,Shots on goal,1
19,1606,1618,12,41.62,15.38,Desjardins Stephanie,McGill Martlets,Shots on goal,2
20,1643,1655,12,46.48,2.09,Downie-Landry Jade,McGill Martlets,Shots on goal,2
21,1719,1731,12,52.16,14.14,Colizza Chrissy,McGill Martlets,Shots on goal,2
22,1777,1789,12,52.25,8.07,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,2
23,1844,1856,12,52.43,11.77,Jardin Laura,McGill Martlets,Shots on goal,2
24,1915,1927,12,42.35,11.01,Verbruggen Raelene,McGill Martlets,Shots on goal,2
25,2066,2078,12,48.95,6.64,Birkby Katherine,University of Ottawa Gee-Gees,Shots on goal,2
26,2068,2080,12,54.18,16.7,Reedman Kathleen,University of Ottawa Gee-Gees,Goals,2
27,2068,2080,12,54.18,16.7,Reedman Kathleen,University of Ottawa Gee-Gees,Shots on goal,2
28,2498,2510,12,52.07,13.38,Rankin Katie,McGill Martlets,Shots on goal,2
29,2539,2551,12,45.19,8.73,Jardin Laura,McGill Martlets,Shots on goal,2
30,2563,2575,12,41.43,10.44,Kastelic Jaime,McGill Martlets,Shots on goal,2
31,2567,2579,12,55.46,14.24,Stasiuk Cassidy,McGill Martlets,Goals,2
32,2567,2579,12,55.46,14.24,Stasiuk Cassidy,McGill Martlets,Shots on goal,2
33,2656,2668,12,41.34,4.37,Fillion Alice,University of Ottawa Gee-Gees,Shots on goal,2
34,2659,2671,12,49.87,14.14,Gagnon Arianne,University of Ottawa Gee-Gees,Shots on goal,2
35,2710,2722,12,41.8,20.31,Downie-Landry Jade,McGill Martlets,Shots on goal,2
36,2904,2916,12,48.03,6.55,Downie-Landry Jade,McGill Martlets,Shots on goal,2
37,3115,3127,12,42.26,16.42,Piers Emma,McGill Martlets,Shots on goal,2
38,3213,3225,12,44,10.25,Biesenthal Alyssa,University of Ottawa Gee-Gees,Shots on goal,2
39,3254,3266,12,51.06,5.69,Downie-Landry Jade,McGill Martlets,Shots on goal,2
40,3262,3274,12,56.47,6.36,Gareau Sophie,University of Ottawa Gee-Gees,Shots on goal,2
41,3275,3287,12,51.06,13.29,Downie-Landry Jade,McGill Martlets,Shots on goal,2
42,3607,3619,12,48.31,13.19,Vaananen Mia,McGill Martlets,Shots on goal,3
43,3917,3929,12,55,9.59,McCallum Makenzie,McGill Martlets,Shots on goal,3
44,3975,3987,12,42.9,11.1,Deaudelin Christine,University of Ottawa Gee-Gees,Shots on goal,3
45,3994,4006,12,52.43,14.33,Downie-Landry Jade,McGill Martlets,Shots on goal,3
46,4020,4032,12,40.79,20.12,Pridham Olivia,McGill Martlets,Shots on goal,3
47,4105,4117,12,44,21.54,Jardin Laura,McGill Martlets,Shots on goal,3
48,4156,4168,12,49.59,3.99,Kastelic Jaime,McGill Martlets,Shots on goal,3
49,4220,4232,12,49.04,16.51,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,3
50,4242,4254,12,49.87,8.83,Downie-Landry Jade,McGill Martlets,Shots on goal,3
51,4343,4355,12,52.07,16.99,Clavelle Alexe,University of Ottawa Gee-Gees,Shots on goal,3
52,4405,4417,12,43.54,12.43,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,3
53,4439,4451,12,55.92,14.9,Birkby Katherine,University of Ottawa Gee-Gees,Goals,3
54,4439,4451,12,55.92,14.9,Birkby Katherine,University of Ottawa Gee-Gees,Shots on goal,3
55,4572,4584,12,54.36,6.74,Gagnon Arianne,University of Ottawa Gee-Gees,Shots on goal,3
56,4595,4607,12,45.74,5.31,Jardin Laura,McGill Martlets,Shots on goal,3
57,4670,4682,12,46.48,20.31,Rankin Katie,McGill Martlets,Shots on goal,3
58,4871,4883,12,52.25,11.01,Downie-Landry Jade,McGill Martlets,Shots on goal,3
59,4921,4933,12,49.5,7.88,Colizza Chrissy,McGill Martlets,Shots on goal,3
60,5068,5080,12,47.58,15.19,Rankin Katie,McGill Martlets,Shots on goal,3
61,5123,5135,12,46.84,9.02,Rankin Katie,McGill Martlets,Shots on goal,3
