ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,119,131,12,46.84,20.6,Lalonde Kylie,University of Ottawa Gee-Gees,Shots on goal,1
2,252,264,12,40.88,19.08,Clavelle Alexe,University of Ottawa Gee-Gees,Shots on goal,1
3,291,303,12,55.09,13,Serniuk Hayden,Carleton Ravens,Shots on goal,1
4,340,352,12,55.37,12.05,Proulx Angelique,University of Ottawa Gee-Gees,Goals,1
5,340,352,12,55.37,12.05,Proulx Angelique,University of Ottawa Gee-Gees,Shots on goal,1
6,395,407,12,48.31,13.86,Biesenthal Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
7,402,414,12,46.57,10.44,Deaudelin Christine,University of Ottawa Gee-Gees,Shots on goal,1
8,403,415,12,50.33,15.94,Gareau Sophie,University of Ottawa Gee-Gees,Shots on goal,1
9,685,697,12,57.02,7.69,Serniuk Hayden,Carleton Ravens,Shots on goal,1
10,687,699,12,57.38,11.58,Serniuk Hayden,Carleton Ravens,Goals,1
11,687,699,12,57.38,11.58,Serniuk Hayden,Carleton Ravens,Shots on goal,1
12,894,906,12,49.78,1.14,Gareau Sophie,University of Ottawa Gee-Gees,Shots on goal,1
13,940,952,12,49.87,9.3,Todd Jade,University of Ottawa Gee-Gees,Shots on goal,1
14,1038,1050,12,54.91,14.33,Gareau Sophie,University of Ottawa Gee-Gees,Shots on goal,1
15,1109,1121,12,40.61,17.27,Hunter Nicole,Carleton Ravens,Shots on goal,1
16,1144,1156,12,49.96,18.13,Todd Jade,University of Ottawa Gee-Gees,Goals,1
17,1144,1156,12,49.96,18.13,Todd Jade,University of Ottawa Gee-Gees,Shots on goal,1
18,1248,1260,12,55.18,12.72,Guimond Lanie,Carleton Ravens,Goals,1
19,1248,1260,12,55.18,12.72,Guimond Lanie,Carleton Ravens,Shots on goal,1
20,1549,1561,12,46.93,2.85,Minville Ariane,University of Ottawa Gee-Gees,Shots on goal,1
21,1587,1599,12,51.24,16.99,Biesenthal Alyssa,University of Ottawa Gee-Gees,Shots on goal,1
22,1896,1908,12,51.33,10.72,Fillion Alice,University of Ottawa Gee-Gees,Shots on goal,2
23,1899,1911,12,55.18,12.81,Gagnon Arianne,University of Ottawa Gee-Gees,Goals,2
24,1899,1911,12,55.18,12.81,Gagnon Arianne,University of Ottawa Gee-Gees,Shots on goal,2
25,2078,2090,12,55.73,10.72,Grosso Jackie,Carleton Ravens,Shots on goal,2
26,2181,2193,12,52.71,11.01,Berta Sydney,Carleton Ravens,Shots on goal,2
27,2354,2366,12,46.84,3.42,Clavelle Alexe,University of Ottawa Gee-Gees,Shots on goal,2
28,2472,2484,12,49.87,13.86,Minville Ariane,University of Ottawa Gee-Gees,Shots on goal,2
29,2527,2539,12,50.14,15.47,Biesenthal Alyssa,University of Ottawa Gee-Gees,Shots on goal,2
30,2560,2572,12,47.21,11.01,Deaudelin Christine,University of Ottawa Gee-Gees,Shots on goal,2
31,2609,2621,12,51.7,14.24,Scott Taylor,University of Ottawa Gee-Gees,Shots on goal,2
32,2624,2636,12,39.97,5.79,Andrews Samantha,Carleton Ravens,Shots on goal,2
33,3017,3029,12,52.62,7.59,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,2
34,3069,3081,12,47.39,16.32,Berta Sydney,Carleton Ravens,Shots on goal,2
35,3128,3140,12,57.2,9.97,Grosso Jackie,Carleton Ravens,Shots on goal,2
36,3198,3210,12,41.62,21.64,Hunter Nicole,Carleton Ravens,Shots on goal,3
37,3226,3238,12,55.09,14.24,Macmillan Alyssa,University of Ottawa Gee-Gees,Shots on goal,3
38,3390,3402,12,48.4,20.69,Birkby Katherine,University of Ottawa Gee-Gees,Shots on goal,3
39,3436,3448,12,51.15,13.1,Clavelle Alexe,University of Ottawa Gee-Gees,Shots on goal,3
40,3469,3481,12,47.58,12.24,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,3
41,3491,3503,12,55.37,11.86,Aubin Ariane,University of Ottawa Gee-Gees,Goals,3
42,3491,3503,12,55.37,11.86,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,3
43,3817,3829,12,42.08,3.7,Andrews Samantha,Carleton Ravens,Shots on goal,3
44,3932,3944,12,55.09,18.79,Chouchani Stephanie,Carleton Ravens,Shots on goal,3
45,4020,4032,12,45.38,21.16,Callocchia Angelina,Carleton Ravens,Shots on goal,3
46,4022,4034,12,54.73,13,Berta Sydney,Carleton Ravens,Shots on goal,3
47,4110,4122,12,39.97,22.3,MacNeil Nicole,Carleton Ravens,Shots on goal,3
48,4238,4250,12,42.9,18.89,Hunter Nicole,Carleton Ravens,Shots on goal,3
49,4260,4272,12,46.38,19.36,Andrews Samantha,Carleton Ravens,Shots on goal,3
50,4268,4280,12,44.55,11.96,Andrews Samantha,Carleton Ravens,Shots on goal,3
51,4551,4563,12,50.78,19.84,Beard Justina,Carleton Ravens,Shots on goal,3
52,4745,4757,12,48.49,12.53,Aubin Ariane,University of Ottawa Gee-Gees,Goals,3
53,4745,4757,12,48.49,12.53,Aubin Ariane,University of Ottawa Gee-Gees,Shots on goal,3
54,4794,4806,12,49.04,5.13,Scott Taylor,University of Ottawa Gee-Gees,Shots on goal,3
