ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,209,221,12,56.1,9.02,Bureau-Gagnon Megan,Concordia Stingers,Shots on goal,1
2,354,366,12,41.89,17.18,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,1
3,583,595,12,49.5,7.97,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
4,608,620,12,47.3,18.89,Belzile Audrey,Concordia Stingers,Shots on goal,1
5,617,629,12,45.28,6.55,Lavoie Emilie,Concordia Stingers,Shots on goal,1
6,1149,1161,12,44.09,3.8,Laganiere Brigitte,Concordia Stingers,Shots on goal,1
7,1363,1375,12,54.27,17.94,Thibault Zoe,Concordia Stingers,Shots on goal,1
8,1402,1414,12,53.44,17.65,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,1
9,1553,1565,12,56.38,10.35,Belzile Audrey,Concordia Stingers,Shots on goal,2
10,1755,1767,12,47.12,12.72,Garand Joannie,Carabins Universite de Montreal,Shots on goal,2
11,1782,1794,12,44.83,2.09,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,2
12,1819,1831,12,54.82,13.57,Gendreau Chloe,Concordia Stingers,Goals,2
13,1819,1831,12,54.82,13.57,Gendreau Chloe,Concordia Stingers,Shots on goal,2
14,2027,2039,12,55.55,15.09,Laganiere Brigitte,Concordia Stingers,Shots on goal,2
15,2035,2047,12,53.81,2.75,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
16,2336,2348,12,45.93,13.76,Drapeau Jessymaude,Concordia Stingers,Shots on goal,2
17,2370,2382,12,48.68,16.7,Gendreau Chloe,Concordia Stingers,Shots on goal,2
18,2434,2446,12,55.55,12.34,Lalancette Stephanie,Concordia Stingers,Shots on goal,2
19,2435,2447,12,56.1,12.72,Bernier Marie-Pascale,Concordia Stingers,Goals,2
20,2435,2447,12,56.1,12.72,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,2
21,2867,2879,12,50.78,5.79,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
22,2946,2958,12,41.8,8.07,Bezeau-Tremblay Marilou,Carabins Universite de Montreal,Shots on goal,2
23,2984,2996,12,52.71,17.75,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
24,3068,3080,12,52.62,18.79,Bureau-Gagnon Megan,Concordia Stingers,Shots on goal,2
25,3103,3115,12,39.78,24.68,Calderone Alexandra,Concordia Stingers,Shots on goal,2
26,3135,3147,12,44.83,1.42,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,2
27,3221,3233,12,46.66,21.45,Dube Marie-Pier,Carabins Universite de Montreal,Shots on goal,2
28,3290,3302,12,45.47,22.78,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,2
29,3314,3326,12,44.64,12.15,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
30,3495,3507,12,46.57,6.45,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,3
31,3524,3536,12,53.72,22.11,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
32,3565,3577,12,49.78,9.78,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,3
33,3679,3691,12,40.79,11.48,Garand Joannie,Carabins Universite de Montreal,Shots on goal,3
34,3736,3748,12,48.77,21.26,Thibault Zoe,Concordia Stingers,Shots on goal,3
35,3785,3797,12,48.77,7.78,Thibault Zoe,Concordia Stingers,Goals,3
36,3785,3797,12,48.77,7.78,Thibault Zoe,Concordia Stingers,Shots on goal,3
37,3849,3861,12,56.01,10.72,Lavoie Emilie,Concordia Stingers,Shots on goal,3
38,3893,3905,12,53.72,17.56,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,3
39,4002,4014,12,55.18,13.1,Lalancette Stephanie,Concordia Stingers,Goals,3
40,4002,4014,12,55.18,13.1,Lalancette Stephanie,Concordia Stingers,Shots on goal,3
41,4043,4055,12,48.58,18.89,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
42,4086,4098,12,55.18,11.48,Manarolis Maria,Concordia Stingers,Shots on goal,3
43,4126,4138,12,47.94,7.21,Gendreau Chloe,Concordia Stingers,Shots on goal,3
44,4181,4193,12,55.73,8.73,Drapeau Jessymaude,Concordia Stingers,Shots on goal,3
45,4281,4293,12,40.33,15.19,Laganiere Brigitte,Concordia Stingers,Shots on goal,3
46,4458,4470,12,55.28,16.42,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,3
47,4516,4528,12,54.91,12.91,Lalancette Stephanie,Concordia Stingers,Shots on goal,3
48,4555,4567,12,46.84,7.88,Drapeau Jessymaude,Concordia Stingers,Shots on goal,3
49,4609,4621,12,42.63,6.74,Dondo Breanne,Carabins Universite de Montreal,Goals,3
50,4609,4621,12,42.63,6.74,Dondo Breanne,Carabins Universite de Montreal,Shots on goal,3
51,4699,4711,12,54.18,20.69,Dube Marie-Pier,Carabins Universite de Montreal,Shots on goal,3
52,4784,4796,12,50.88,8.26,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
53,4870,4882,12,48.68,24.87,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,3
