ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,227,239,12,55.92,11.96,Lefebvre Mylene,Carabins Universite de Montreal,Shots on goal,1
2,233,245,12,46.29,17.84,Dondo Breanne,Carabins Universite de Montreal,Shots on goal,1
3,267,279,12,50.05,19.93,Desjardins Stephanie,McGill Martlets,Shots on goal,1
4,475,487,12,50.33,7.12,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,1
5,508,520,12,52.16,13.1,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,1
6,544,556,12,51.61,14.81,Garand Joannie,Carabins Universite de Montreal,Shots on goal,1
7,553,565,12,55.46,12.34,Downie-Landry Jade,McGill Martlets,Shots on goal,1
8,562,574,12,52.53,11.29,Colizza Chrissy,McGill Martlets,Goals,1
9,562,574,12,52.53,11.29,Colizza Chrissy,McGill Martlets,Shots on goal,1
10,613,625,12,42.72,7.21,Fontaine Laurie,Carabins Universite de Montreal,Shots on goal,1
11,821,833,12,47.94,2.18,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,1
12,869,881,12,53.44,11.58,Downie-Landry Jade,McGill Martlets,Shots on goal,1
13,878,890,12,45.83,6.74,Kastelic Jaime,McGill Martlets,Shots on goal,1
14,956,968,12,48.13,19.55,Stasiuk Cassidy,McGill Martlets,Shots on goal,1
15,968,980,12,52.43,24.3,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,1
16,1117,1129,12,40.79,20.31,Mura Elizabeth,McGill Martlets,Shots on goal,1
17,1176,1188,12,44.92,8.45,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,1
18,1865,1877,12,53.9,13.48,Campbell Quynn,McGill Martlets,Shots on goal,2
19,1915,1927,12,48.77,17.18,Colizza Chrissy,McGill Martlets,Shots on goal,2
20,2111,2123,12,54.73,13.38,Campbell Quynn,McGill Martlets,Shots on goal,2
21,2244,2256,12,54.08,10.35,Colizza Chrissy,McGill Martlets,Shots on goal,2
22,2421,2433,12,42.99,13,MacLellan Lydia,McGill Martlets,Shots on goal,2
23,2671,2683,12,54.82,10.25,Desjardins Stephanie,McGill Martlets,Shots on goal,2
24,3086,3098,12,40.98,10.53,Verbruggen Raelene,McGill Martlets,Shots on goal,2
25,3105,3117,12,56.01,11.29,McCallum Makenzie,McGill Martlets,Shots on goal,2
26,3227,3239,12,53.99,8.35,Colizza Chrissy,McGill Martlets,Goals,2
27,3227,3239,12,53.99,8.35,Colizza Chrissy,McGill Martlets,Shots on goal,2
28,3298,3310,12,49.78,20.22,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,2
29,3670,3682,12,55.73,11.86,Piers Emma,McGill Martlets,Shots on goal,3
30,3751,3763,12,49.23,22.02,Desjardins Stephanie,McGill Martlets,Shots on goal,3
31,3818,3830,12,49.68,7.69,Keeper Stephanie,McGill Martlets,Shots on goal,3
32,3860,3872,12,47.03,9.49,Dube Marie-Pier,Carabins Universite de Montreal,Shots on goal,3
33,4462,4474,12,52.53,5.5,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,3
