ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,76,88,12,50.23,5.98,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
2,256,268,12,54.73,8.16,Lavoie Emilie,Concordia Stingers,Shots on goal,1
3,401,413,12,55.64,12.43,Bernier Marie-Pascale,Concordia Stingers,Goals,1
4,401,413,12,55.64,12.43,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,1
5,441,453,12,46.66,22.02,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,1
6,470,482,12,46.48,3.99,Dumont Camille,Carabins Universite de Montreal,Shots on goal,1
7,698,710,12,47.12,6.45,Fecteau Emmy,Concordia Stingers,Shots on goal,1
8,730,742,12,52.98,19.65,Garand Joannie,Carabins Universite de Montreal,Shots on goal,1
9,818,830,12,34.28,18.51,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
10,851,863,12,38.5,21.54,Gervais Audrey,Carabins Universite de Montreal,Shots on goal,1
11,954,966,12,49.87,14.81,Gendreau Chloe,Concordia Stingers,Shots on goal,1
12,970,982,12,39.51,12.43,Laganiere Brigitte,Concordia Stingers,Shots on goal,1
13,1032,1044,12,49.41,6.83,Lavoie Emilie,Concordia Stingers,Shots on goal,1
14,1033,1045,12,55.64,10.35,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,1
15,1289,1301,12,50.6,13.95,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,1
16,1291,1303,12,53.72,16.04,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,1
17,1316,1328,12,45.93,11.2,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,1
18,1369,1381,12,52.71,20.03,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
19,1536,1548,12,52.53,6.93,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,1
20,1614,1626,12,41.98,1.8,Fecteau Emmy,Concordia Stingers,Shots on goal,2
21,1676,1688,12,46.02,18.22,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
22,1795,1807,12,47.94,4.46,Thibault Zoe,Concordia Stingers,Shots on goal,2
23,1845,1857,12,49.04,22.97,Belzile Audrey,Concordia Stingers,Shots on goal,2
24,1864,1876,12,39.69,3.89,Laganiere Brigitte,Concordia Stingers,Shots on goal,2
25,1866,1878,12,55.18,15.94,Laganiere Brigitte,Concordia Stingers,Shots on goal,2
26,2001,2013,12,43.18,22.21,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
27,2044,2056,12,52.53,7.59,Lavoie Emilie,Concordia Stingers,Shots on goal,2
28,2176,2188,12,40.79,3.7,Julien Ariane,Concordia Stingers,Shots on goal,2
29,2205,2217,12,54.27,9.97,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,2
30,2256,2268,12,40.33,10.16,Gervais Audrey,Carabins Universite de Montreal,Shots on goal,2
31,2329,2341,12,52.89,2.09,Gervais Audrey,Carabins Universite de Montreal,Shots on goal,2
32,2337,2349,12,50.51,9.49,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
33,2414,2426,12,47.03,20.12,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,2
34,2588,2600,12,53.81,8.35,Manarolis Maria,Concordia Stingers,Shots on goal,2
35,2673,2685,12,49.04,11.29,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,2
36,2722,2734,12,48.86,5.6,Drapeau Jessymaude,Concordia Stingers,Shots on goal,2
37,2785,2797,12,39.51,24.11,Lemelin Stephanie,Concordia Stingers,Shots on goal,2
38,3077,3089,12,53.53,20.5,Belzile Audrey,Concordia Stingers,Shots on goal,2
39,3219,3231,12,51.06,16.7,Lefebvre Mylene,Carabins Universite de Montreal,Shots on goal,2
40,3293,3305,12,49.32,17.08,Fecteau Emmy,Concordia Stingers,Shots on goal,3
41,3295,3307,12,55,15.57,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,3
42,3388,3400,12,51.79,17.56,Pelletier Justine,Carabins Universite de Montreal,Shots on goal,3
43,3482,3494,12,55.55,14.81,Rodrigue Audrey-Ann,Concordia Stingers,Shots on goal,3
44,3513,3525,12,49.78,12.72,Fecteau Emmy,Concordia Stingers,Shots on goal,3
45,3585,3597,12,39.14,1.99,Lavoie Emilie,Concordia Stingers,Shots on goal,3
46,3762,3774,12,50.97,13.1,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,3
47,3790,3802,12,5.96,24.49,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,3
48,3827,3839,12,51.33,21.83,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,3
49,3961,3973,12,41.53,6.17,Fecteau Emmy,Concordia Stingers,Shots on goal,3
50,4080,4092,12,39.88,14.71,Lalancette Stephanie,Concordia Stingers,Shots on goal,3
51,4089,4101,12,46.11,20.03,Laganiere Brigitte,Concordia Stingers,Shots on goal,3
52,4174,4186,12,49.04,21.73,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,3
53,4248,4260,12,56.47,9.02,Drapeau Jessymaude,Concordia Stingers,Goals,3
54,4248,4260,12,56.47,9.02,Drapeau Jessymaude,Concordia Stingers,Shots on goal,3
55,4407,4419,12,53.35,18.22,Gendreau Chloe,Concordia Stingers,Shots on goal,3
56,4563,4575,12,44.92,7.97,Julien Ariane,Concordia Stingers,Shots on goal,3
57,4620,4632,12,48.77,15.47,Calderone Alexandra,Concordia Stingers,Shots on goal,3
58,4720,4732,12,55.09,11.96,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,3
