ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,10,22,12,49.13,7.97,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,1
2,85,97,12,40.43,22.97,Hunter Nicole,Carleton Ravens,Shots on goal,1
3,185,197,12,37.03,11.67,MacNeil Nicole,Carleton Ravens,Shots on goal,1
4,195,207,12,47.3,4.18,Smythe Emily,Carleton Ravens,Shots on goal,1
5,280,292,12,43.08,9.78,Hunter Nicole,Carleton Ravens,Shots on goal,1
6,349,361,12,43.18,4.75,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,1
7,410,422,12,45.28,12.81,MacNeil Nicole,Carleton Ravens,Shots on goal,1
8,418,430,12,56.65,10.25,Serniuk Hayden,Carleton Ravens,Shots on goal,1
9,425,437,12,52.98,19.17,Serniuk Hayden,Carleton Ravens,Shots on goal,1
10,568,580,12,53.53,10.25,Veillette Audrey-Anne,Carabins Universite de Montreal,Goals,1
11,568,580,12,53.53,10.25,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
12,734,746,12,43.54,17.08,Terriault Marie,Carabins Universite de Montreal,Shots on goal,1
13,735,747,12,55.46,15.28,Dumont Camille,Carabins Universite de Montreal,Goals,1
14,735,747,12,55.46,15.28,Dumont Camille,Carabins Universite de Montreal,Shots on goal,1
15,975,987,12,43.82,7.78,MacNeil Nicole,Carleton Ravens,Shots on goal,1
16,1115,1127,12,55.28,10.72,Gagnon Leyla,Carabins Universite de Montreal,Shots on goal,1
17,1302,1314,12,45.74,7.31,Hunter Nicole,Carleton Ravens,Shots on goal,1
18,1379,1391,12,51.43,13.19,Serniuk Hayden,Carleton Ravens,Shots on goal,1
19,1547,1559,12,41.53,24.39,Guimond Lanie,Carleton Ravens,Shots on goal,1
20,1606,1618,12,54.27,9.21,Veillette Audrey-Anne,Carabins Universite de Montreal,Goals,2
21,1606,1618,12,54.27,9.21,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
22,1716,1728,12,55.18,10.53,Morais Jenna,Carleton Ravens,Shots on goal,2
23,1898,1910,12,43.54,1.14,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,2
24,1924,1936,12,53.9,15,Pelletier Justine,Carabins Universite de Montreal,Goals,2
25,1924,1936,12,53.9,15,Pelletier Justine,Carabins Universite de Montreal,Shots on goal,2
26,2194,2206,12,51.06,11.2,Berta Sydney,Carleton Ravens,Shots on goal,2
27,2309,2321,12,52.25,16.23,Lefebvre Mylene,Carabins Universite de Montreal,Shots on goal,2
28,2414,2426,12,40.06,4.84,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,2
29,2419,2431,12,44.73,24.68,Gervais Audrey,Carabins Universite de Montreal,Shots on goal,2
30,2454,2466,12,48.03,7.31,Serniuk Hayden,Carleton Ravens,Shots on goal,2
31,2516,2528,12,39.69,13.67,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,2
32,2548,2560,12,55.46,11.1,Gagnon Leyla,Carabins Universite de Montreal,Shots on goal,2
33,2586,2598,12,57.29,14.71,Hachez Sandrine,Carleton Ravens,Shots on goal,2
34,2701,2713,12,45.47,16.7,Garand Joannie,Carabins Universite de Montreal,Shots on goal,2
35,2735,2747,12,44.37,12.15,Dondo Breanne,Carabins Universite de Montreal,Shots on goal,2
36,2737,2749,12,55.18,12.15,Boulanger Jessika,Carabins Universite de Montreal,Goals,2
37,2737,2749,12,55.18,12.15,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
38,2879,2891,12,52.98,9.59,Unis-Thibault Hanna,Carleton Ravens,Shots on goal,2
39,3074,3086,12,53.9,9.02,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
40,3262,3274,12,55,13.29,Terriault Marie,Carabins Universite de Montreal,Shots on goal,3
41,3279,3291,12,53.63,7.12,Hunter Nicole,Carleton Ravens,Shots on goal,3
42,3314,3326,12,54.91,13.86,Lavallee Audrey,Carabins Universite de Montreal,Shots on goal,3
43,3356,3368,12,54.54,12.91,Beard Justina,Carleton Ravens,Shots on goal,3
44,3424,3436,12,48.03,23.82,Gervais Audrey,Carabins Universite de Montreal,Shots on goal,3
45,3578,3590,12,46.84,8.64,Hunter Nicole,Carleton Ravens,Shots on goal,3
46,3605,3617,12,43.54,21.54,Callocchia Angelina,Carleton Ravens,Shots on goal,3
47,3649,3661,12,41.16,4.18,Hunter Nicole,Carleton Ravens,Goals,3
48,3649,3661,12,41.16,4.18,Hunter Nicole,Carleton Ravens,Shots on goal,3
49,3748,3760,12,52.25,19.17,Garand Joannie,Carabins Universite de Montreal,Shots on goal,3
50,3972,3984,12,41.8,17.46,Faubert Annabel,Carabins Universite de Montreal,Goals,3
51,3972,3984,12,41.8,17.46,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,3
52,4054,4066,12,47.21,13.86,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,3
53,4064,4076,12,50.97,6.83,Andrews Samantha,Carleton Ravens,Shots on goal,3
54,4158,4170,12,51.15,8.26,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,3
55,4238,4250,12,50.05,13.19,Dumont Camille,Carabins Universite de Montreal,Shots on goal,3
56,4370,4382,12,56.38,10.91,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,3
57,4430,4442,12,47.85,20.88,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
58,4448,4460,12,41.53,14.05,Gervais Audrey,Carabins Universite de Montreal,Shots on goal,3
59,4521,4533,12,49.32,12.43,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,3
60,4730,4742,12,54.73,14.24,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,3
61,4766,4778,12,49.68,3.7,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
