ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,31,43,12,47.76,24.49,Downie-Landry Jade,McGill Martlets,Shots on goal,1
2,252,264,12,44.73,5.79,Mura Elizabeth,McGill Martlets,Shots on goal,1
3,506,518,12,52.8,21.54,Dube Marie-Pier,Carabins Universite de Montreal,Shots on goal,1
4,674,686,12,48.4,6.83,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,1
5,699,711,12,45.93,2.47,Dondo Breanne,Carabins Universite de Montreal,Shots on goal,1
6,742,754,12,48.4,14.05,Rankin Katie,McGill Martlets,Shots on goal,1
7,809,821,12,49.59,20.22,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
8,923,935,12,56.38,11.1,Downie-Landry Jade,McGill Martlets,Shots on goal,1
9,941,953,12,48.86,11.96,Downie-Landry Jade,McGill Martlets,Shots on goal,1
10,948,960,12,51.06,23.82,Mura Elizabeth,McGill Martlets,Shots on goal,1
11,991,1003,12,43.73,11.29,Kastelic Jaime,McGill Martlets,Shots on goal,1
12,1087,1099,12,42.17,22.68,Vaananen Mia,McGill Martlets,Shots on goal,1
13,1136,1148,12,48.03,6.45,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
14,1218,1230,12,51.98,16.42,Garand Joannie,Carabins Universite de Montreal,Shots on goal,1
15,1219,1231,12,55.37,15,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,1
16,1282,1294,12,42.26,11.77,McCallum Makenzie,McGill Martlets,Shots on goal,1
17,1430,1442,12,50.23,20.69,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
18,1504,1516,12,46.57,7.02,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
19,1582,1594,12,50.97,16.7,Downie-Landry Jade,McGill Martlets,Shots on goal,2
20,1629,1641,12,51.43,9.11,Boulanger Jessika,Carabins Universite de Montreal,Goals,2
21,1629,1641,12,51.43,9.11,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,2
22,1772,1784,12,49.59,8.45,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,2
23,1811,1823,12,48.22,16.04,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,2
24,1845,1857,12,50.6,16.99,Piers Emma,McGill Martlets,Shots on goal,2
25,1906,1918,12,54.27,14.14,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
26,2029,2041,12,46.57,8.92,Stevens Ria,McGill Martlets,Shots on goal,2
27,2355,2367,12,44,13.29,Downie-Landry Jade,McGill Martlets,Shots on goal,2
28,2356,2368,12,55.46,14.14,Campbell Quynn,McGill Martlets,Goals,2
29,2356,2368,12,55.46,14.14,Campbell Quynn,McGill Martlets,Shots on goal,2
30,2443,2455,12,32.08,23.35,Vaananen Mia,McGill Martlets,Shots on goal,2
