ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,52,64,12,39.78,20.78,Smythe Emily,Carleton Ravens,Shots on goal,1
2,170,182,12,44.73,16.13,Berta Sydney,Carleton Ravens,Shots on goal,1
3,448,460,12,54.63,12.81,Manarolis Maria,Concordia Stingers,Goals,1
4,448,460,12,54.63,12.81,Manarolis Maria,Concordia Stingers,Shots on goal,1
5,633,645,12,39.69,11.39,Lemelin Stephanie,Concordia Stingers,Goals,1
6,633,645,12,39.69,11.39,Lemelin Stephanie,Concordia Stingers,Shots on goal,1
7,771,783,12,53.99,18.13,Lavoie Emilie,Concordia Stingers,Shots on goal,1
8,789,801,12,45.1,20.12,Laganiere Brigitte,Concordia Stingers,Shots on goal,1
9,889,901,12,55,12.34,Manarolis Maria,Concordia Stingers,Goals,1
10,889,901,12,55,12.34,Manarolis Maria,Concordia Stingers,Shots on goal,1
11,1135,1147,12,49.96,6.36,Fecteau Emmy,Concordia Stingers,Shots on goal,1
12,1343,1355,12,48.4,9.3,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
13,1518,1530,12,55.09,13,Manarolis Maria,Concordia Stingers,Goals,1
14,1518,1530,12,55.09,13,Manarolis Maria,Concordia Stingers,Shots on goal,1
15,1836,1848,12,45.65,17.75,Moquin-Joubert Caroline,Concordia Stingers,Shots on goal,1
16,2040,2052,12,44.73,18.79,Veillette Sandrine,Concordia Stingers,Shots on goal,2
17,2059,2071,12,48.4,5.22,Lavoie Emilie,Concordia Stingers,Shots on goal,2
18,2081,2093,12,49.87,6.07,Manarolis Maria,Concordia Stingers,Shots on goal,2
19,2107,2119,12,51.43,17.27,Gendreau Chloe,Concordia Stingers,Shots on goal,2
20,2153,2165,12,40.43,23.44,Hunter Nicole,Carleton Ravens,Shots on goal,2
21,2319,2331,12,46.57,22.97,Manarolis Maria,Concordia Stingers,Shots on goal,2
22,2417,2429,12,55.18,14.33,Manarolis Maria,Concordia Stingers,Goals,2
23,2417,2429,12,55.18,14.33,Manarolis Maria,Concordia Stingers,Shots on goal,2
24,2486,2498,12,48.68,13.57,Lemay Amelie,Concordia Stingers,Shots on goal,2
25,2515,2527,12,40.33,14.24,Laganiere Brigitte,Concordia Stingers,Shots on goal,2
26,2531,2543,12,46.93,4.37,Laganiere Brigitte,Concordia Stingers,Shots on goal,2
27,2622,2634,12,46.66,2.75,Thibault Zoe,Concordia Stingers,Shots on goal,2
28,2738,2750,12,55,16.42,Berta Sydney,Carleton Ravens,Shots on goal,2
29,2817,2829,12,52.07,13.57,Boulanger Alexandra,Concordia Stingers,Shots on goal,2
30,3042,3054,12,51.88,12.62,Gendreau Chloe,Concordia Stingers,Shots on goal,2
31,3080,3092,12,49.59,5.22,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
32,3105,3117,12,49.04,10.35,Lalancette Stephanie,Concordia Stingers,Shots on goal,2
33,3131,3143,12,46.84,14.81,Hale Olivia,Concordia Stingers,Goals,2
34,3131,3143,12,46.84,14.81,Hale Olivia,Concordia Stingers,Shots on goal,2
35,3322,3334,12,55.83,10.91,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
36,3514,3526,12,41.8,1.61,Grosso Jackie,Carleton Ravens,Shots on goal,2
37,3603,3615,12,45.01,1.9,Hunter Nicole,Carleton Ravens,Shots on goal,2
38,3670,3682,12,54.27,12.43,Serniuk Hayden,Carleton Ravens,Shots on goal,2
39,3716,3728,12,52.34,13.95,Grosso Jackie,Carleton Ravens,Shots on goal,2
