ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,104,116,12,45.1,12.15,Jardin Laura,McGill Martlets,Shots on goal,1
2,171,183,12,49.5,20.12,Lefebvre Mylene,Carabins Universite de Montreal,Shots on goal,1
3,200,212,12,41.53,20.97,Dondo Breanne,Carabins Universite de Montreal,Shots on goal,1
4,294,306,12,41.62,2.94,Dube Marie-Pier,Carabins Universite de Montreal,Shots on goal,1
5,369,381,12,49.5,20.12,Paquin Emilie-Renee,Carabins Universite de Montreal,Shots on goal,1
6,466,478,12,49.5,15,Terriault Marie,Carabins Universite de Montreal,Shots on goal,1
7,467,479,12,54.54,17.84,Lefebvre Mylene,Carabins Universite de Montreal,Shots on goal,1
8,637,649,12,55.09,12.05,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
9,795,807,12,44.28,9.21,Downie-Landry Jade,McGill Martlets,Shots on goal,1
10,799,811,12,55.83,15.47,Colizza Chrissy,McGill Martlets,Goals,1
11,799,811,12,55.83,15.47,Colizza Chrissy,McGill Martlets,Shots on goal,1
12,967,979,12,51.06,8.07,Garand Joannie,Carabins Universite de Montreal,Shots on goal,1
13,1145,1157,12,51.7,17.27,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,1
14,1247,1259,12,52.16,15.94,Downie-Landry Jade,McGill Martlets,Shots on goal,1
15,1350,1362,12,40.79,24.39,Vaananen Mia,McGill Martlets,Shots on goal,1
16,1576,1588,12,56.1,11.67,Downie-Landry Jade,McGill Martlets,Shots on goal,1
17,1786,1798,12,43.18,21.16,Dondo Breanne,Carabins Universite de Montreal,Shots on goal,2
18,1813,1825,12,53.08,18.13,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,2
19,1856,1868,12,55.55,12.91,Pelletier Justine,Carabins Universite de Montreal,Shots on goal,2
20,1986,1998,12,44.37,24.87,Dondo Breanne,Carabins Universite de Montreal,Shots on goal,2
21,2018,2030,12,48.03,19.46,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
22,2294,2306,12,39.33,1.99,Fontaine Laurie,Carabins Universite de Montreal,Shots on goal,2
23,2542,2554,12,52.43,7.5,Dube Marie-Pier,Carabins Universite de Montreal,Shots on goal,2
24,2688,2700,12,50.42,6.93,Garand Joannie,Carabins Universite de Montreal,Shots on goal,2
25,2742,2754,12,41.16,19.65,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,2
26,2938,2950,12,48.95,15.75,Piers Emma,McGill Martlets,Shots on goal,2
27,3205,3217,12,46.57,23.25,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
28,3253,3265,12,44.73,17.46,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
29,3321,3333,12,33.73,21.07,Dondo Breanne,Carabins Universite de Montreal,Shots on goal,2
30,3609,3621,12,51.33,13.29,Jardin Laura,McGill Martlets,Goals,3
31,3609,3621,12,51.33,13.29,Jardin Laura,McGill Martlets,Shots on goal,3
32,3862,3874,12,39.51,24.01,Pridham Olivia,McGill Martlets,Shots on goal,3
33,3871,3883,12,55.09,15.09,Labrecque Marika,McGill Martlets,Goals,3
34,3871,3883,12,55.09,15.09,Labrecque Marika,McGill Martlets,Shots on goal,3
35,3928,3940,12,52.8,9.68,Dube Marie-Pier,Carabins Universite de Montreal,Shots on goal,3
36,4097,4109,12,48.13,9.59,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,3
37,4139,4151,12,48.03,12.72,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,3
38,4159,4171,12,55.09,12.91,Downie-Landry Jade,McGill Martlets,Goals,3
39,4159,4171,12,55.09,12.91,Downie-Landry Jade,McGill Martlets,Shots on goal,3
40,4473,4485,12,56.74,6.83,Downie-Landry Jade,McGill Martlets,Shots on goal,3
41,4478,4490,12,46.57,24.96,Labrecque Marika,McGill Martlets,Shots on goal,3
42,4644,4656,12,54.27,10.72,McCallum Makenzie,McGill Martlets,Shots on goal,3
43,4646,4658,12,57.2,11.39,McCallum Makenzie,McGill Martlets,Goals,3
44,4646,4658,12,57.2,11.39,McCallum Makenzie,McGill Martlets,Shots on goal,3
45,4928,4940,12,50.69,12.24,Terriault Marie,Carabins Universite de Montreal,Shots on goal,3
46,4929,4941,12,55.73,17.75,Chiasson Noemie,Carabins Universite de Montreal,Shots on goal,3
47,4975,4987,12,39.51,9.11,MacLellan Lydia,McGill Martlets,Shots on goal,3
48,5004,5016,12,56.74,15.19,Downie-Landry Jade,McGill Martlets,Shots on goal,3
49,5099,5111,12,43.73,6.83,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,3
50,5263,5275,12,55.28,18.79,Lefebvre Mylene,Carabins Universite de Montreal,Shots on goal,3
