ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,176,188,12,41.71,10.44,Pelletier Justine,Carabins Universite de Montreal,Shots on goal,1
2,212,224,12,48.31,3.61,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,1
3,221,233,12,47.48,10.82,Fontaine Laurie,Carabins Universite de Montreal,Shots on goal,1
4,341,353,12,46.84,1.99,Chiasson Noemie,Carabins Universite de Montreal,Shots on goal,1
5,519,531,12,45.1,15.66,Smythe Emily,Carleton Ravens,Shots on goal,1
6,560,572,12,54.82,11.58,Pelletier Justine,Carabins Universite de Montreal,Shots on goal,1
7,580,592,12,52.34,18.79,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,1
8,625,637,12,47.21,4.08,Garand Joannie,Carabins Universite de Montreal,Shots on goal,1
9,1171,1183,12,48.22,4.84,Hachez Sandrine,Carleton Ravens,Shots on goal,1
10,1515,1527,12,49.32,7.4,Garand Joannie,Carabins Universite de Montreal,Shots on goal,1
11,1570,1582,12,52.53,5.88,Grosso Jackie,Carleton Ravens,Shots on goal,2
12,1650,1662,12,48.95,10.06,Garand Joannie,Carabins Universite de Montreal,Shots on goal,2
13,1844,1856,12,45.1,12.05,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
14,1920,1932,12,52.71,12.15,Garand Joannie,Carabins Universite de Montreal,Shots on goal,2
15,1975,1987,12,53.08,20.78,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,2
16,2135,2147,12,49.59,14.33,Veillette Audrey-Anne,Carabins Universite de Montreal,Goals,2
17,2135,2147,12,49.59,14.33,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
18,2222,2234,12,42.53,24.01,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,2
19,2277,2289,12,40.52,24.11,Duchesneau Chloe,Carabins Universite de Montreal,Shots on goal,2
20,2345,2357,12,52.98,17.08,Smythe Emily,Carleton Ravens,Shots on goal,2
21,2433,2445,12,54.36,13,Grosso Jackie,Carleton Ravens,Shots on goal,2
22,2472,2484,12,54.91,10.25,Beard Justina,Carleton Ravens,Shots on goal,2
23,2723,2735,12,52.43,17.08,Dumont Camille,Carabins Universite de Montreal,Shots on goal,2
24,2734,2746,12,46.02,21.07,Dumont Camille,Carabins Universite de Montreal,Goals,2
25,2734,2746,12,46.02,21.07,Dumont Camille,Carabins Universite de Montreal,Shots on goal,2
26,2793,2805,12,52.16,18.03,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,2
27,2958,2970,12,54.73,12.43,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,2
28,3053,3065,12,52.43,8.54,Quennec Kaleigh,Carabins Universite de Montreal,Shots on goal,3
29,3609,3621,12,54.36,5.69,Gervais Audrey,Carabins Universite de Montreal,Shots on goal,3
30,3834,3846,12,56.65,18.41,Dumont Camille,Carabins Universite de Montreal,Shots on goal,3
31,3865,3877,12,43.91,16.61,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,3
32,4009,4021,12,52.89,14.71,Nadeau Kelly-Ann,Carabins Universite de Montreal,Shots on goal,3
33,4098,4110,12,48.31,22.68,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
34,4186,4198,12,46.66,6.26,Boulanger Jessika,Carabins Universite de Montreal,Shots on goal,3
35,4231,4243,12,49.78,13.38,Grosso Jackie,Carleton Ravens,Shots on goal,3
36,4535,4547,12,48.31,10.06,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
