ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,128,140,12,47.97,4.62,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,1
2,167,179,12,54.67,21.43,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,1
3,217,229,12,47.33,6.92,Boulanger Alexandra,Concordia Stingers,Shots on goal,1
4,274,286,12,36.51,20.55,Philbert Leonie,Concordia Stingers,Shots on goal,1
5,323,335,12,52.74,19.34,Paquin Emilie-Renee,Carabins Universite de Montreal,Shots on goal,1
6,397,409,12,56.78,13.41,Faubert Annabel,Carabins Universite de Montreal,Shots on goal,1
7,424,436,12,47.88,8.79,Drapeau Jessymaude,Concordia Stingers,Shots on goal,1
8,520,532,12,55.4,12.86,Lalancette Stephanie,Concordia Stingers,Shots on goal,1
9,714,726,12,56.6,20.88,Pelletier Justine,Carabins Universite de Montreal,Shots on goal,1
10,725,737,12,50.45,20.99,Lavoie Emilie,Concordia Stingers,Shots on goal,1
11,801,813,12,46.23,7.58,Thibault Zoe,Concordia Stingers,Shots on goal,1
12,817,829,12,51.46,10.55,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,1
13,846,858,12,41.19,24.84,Lefebvre Mylene,Carabins Universite de Montreal,Shots on goal,1
14,898,910,12,54.85,17.91,Belzile Audrey,Concordia Stingers,Shots on goal,1
15,978,990,12,50.63,11.54,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,1
16,1020,1032,12,41.74,25.71,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,1
17,1389,1401,12,39.99,18.13,Laganiere Brigitte,Concordia Stingers,Shots on goal,1
18,1767,1779,12,46.51,14.62,Boulanger Alexandra,Concordia Stingers,Shots on goal,2
19,1862,1874,12,54.3,16.7,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
20,1900,1912,12,52.74,13.52,Drapeau Jessymaude,Concordia Stingers,Shots on goal,2
21,1981,1993,12,53.94,13.41,Manarolis Maria,Concordia Stingers,Shots on goal,2
22,2196,2208,12,47.33,14.07,Belzile Audrey,Concordia Stingers,Goals,2
23,2196,2208,12,47.33,14.07,Belzile Audrey,Concordia Stingers,Shots on goal,2
24,2241,2253,12,50.36,12.86,Veillette Audrey-Anne,Carabins Universite de Montreal,Goals,2
25,2241,2253,12,50.36,12.86,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
26,2296,2308,12,49.81,12.09,Gendreau Chloe,Concordia Stingers,Shots on goal,2
27,2500,2512,12,52.47,10.77,Lalancette Stephanie,Concordia Stingers,Shots on goal,2
28,2568,2580,12,36.23,7.14,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
29,2846,2858,12,53.85,8.57,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
30,2863,2875,12,53.94,19.34,Begin-Cyr Rosalie,Concordia Stingers,Shots on goal,2
31,3107,3119,12,54.3,19.12,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,2
32,3124,3136,12,51.55,23.3,Yelle Justine,Concordia Stingers,Shots on goal,2
33,3237,3249,12,50.45,13.52,Veillette Sandrine,Concordia Stingers,Shots on goal,2
34,3275,3287,12,48.34,23.74,Pouliot Raphaеlle,Carabins Universite de Montreal,Shots on goal,2
35,3665,3677,12,45.86,23.85,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
36,3708,3720,12,45.77,7.14,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,3
37,3773,3785,12,45.86,23.19,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
38,3986,3998,12,47.52,5.6,Lalancette Stephanie,Concordia Stingers,Shots on goal,3
39,4132,4144,12,46.23,18.02,Paquin Emilie-Renee,Carabins Universite de Montreal,Shots on goal,3
40,4155,4167,12,49.63,7.03,Veillette Audrey-Anne,Carabins Universite de Montreal,Goals,3
41,4155,4167,12,49.63,7.03,Veillette Audrey-Anne,Carabins Universite de Montreal,Shots on goal,3
42,4221,4233,12,39.72,24.18,Veillette Sandrine,Concordia Stingers,Shots on goal,3
43,4250,4262,12,54.95,18.68,Belzile Audrey,Concordia Stingers,Shots on goal,3
44,4295,4307,12,45.59,6.59,Lalancette Stephanie,Concordia Stingers,Shots on goal,3
45,4323,4335,12,46.97,16.48,Philbert Leonie,Concordia Stingers,Shots on goal,3
46,4357,4369,12,41.74,12.09,Julien Ariane,Concordia Stingers,Shots on goal,3
47,4410,4422,12,40.18,2.64,Gervais Audrey,Carabins Universite de Montreal,Shots on goal,3
48,4473,4485,12,39.63,27.47,Lalancette Stephanie,Concordia Stingers,Shots on goal,3
49,4577,4589,12,48.62,9.34,Gendreau Chloe,Concordia Stingers,Shots on goal,3
50,4644,4656,12,46.23,9.01,Lalancette Stephanie,Concordia Stingers,Shots on goal,3
51,4698,4710,12,44.4,26.81,Julien Ariane,Concordia Stingers,Shots on goal,3
52,4797,4809,12,51.19,24.18,Lavoie Emilie,Concordia Stingers,Shots on goal,3
53,4803,4815,12,52.74,19.67,Lavoie Emilie,Concordia Stingers,Shots on goal,3
54,4873,4885,12,52.47,10.11,Bernier Marie-Pascale,Concordia Stingers,Shots on goal,3
55,4967,4979,12,41.65,10.22,Laganiere Brigitte,Concordia Stingers,Shots on goal,3
56,4998,5010,12,43.02,14.51,Laganiere Brigitte,Concordia Stingers,Shots on goal,3
57,5042,5054,12,20.36,9.23,Poire-Lehoux Amelie,Carabins Universite de Montreal,Goals,3
58,5042,5054,12,20.36,9.23,Poire-Lehoux Amelie,Carabins Universite de Montreal,Shots on goal,3
